epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.7467,1.84839,12.1707,0.00271,0.01856,0.31732,0.01774,0.01135,1.68338,6.81393,0.00338,0.000125,0.000125,0.075125
2,42.6228,1.80802,7.42217,0.00263,0.83663,0.29162,0.45722,0.26282,1.72142,4.698,0.00356,0.000253587,0.000253587,0.0492536
3,53.5304,1.82854,4.70905,0.00264,0.699,0.61235,0.68168,0.4011,1.75422,2.72339,0.00363,0.000376521,0.000376521,0.0233765
4,64.4667,1.79003,3.35631,0.00253,0.72991,0.65525,0.72016,0.42943,1.76063,2.40067,0.00364,0.000475476,0.000475476,0.000475476
5,75.4162,1.76516,2.75441,0.00252,0.74896,0.69721,0.76201,0.46585,1.72245,1.97103,0.00354,0.000457029,0.000457029,0.000457029
6,86.3915,1.76438,2.26755,0.00253,0.73812,0.72737,0.78372,0.50005,1.704,1.73539,0.00348,0.000434099,0.000434099,0.000434099
7,97.325,1.72273,1.94494,0.00248,0.77782,0.71192,0.79802,0.50648,1.68861,1.6605,0.00344,0.000407252,0.000407252,0.000407252
8,108.272,1.69954,1.82351,0.00244,0.77944,0.7352,0.80591,0.51137,1.67591,1.6339,0.0034,0.000377148,0.000377148,0.000377148
9,119.233,1.74868,1.81536,0.00254,0.79618,0.73855,0.81698,0.51815,1.68441,1.59855,0.00343,0.000344529,0.000344529,0.000344529
10,130.163,1.68901,1.66866,0.0024,0.82499,0.76089,0.83457,0.53151,1.65497,1.55771,0.00334,0.000310198,0.000310198,0.000310198
11,141.094,1.68408,1.61939,0.00244,0.82679,0.76201,0.84041,0.54121,1.64363,1.51365,0.00336,0.000275,0.000275,0.000275
12,152.001,1.68557,1.5909,0.00242,0.84479,0.74191,0.84159,0.54697,1.64153,1.51239,0.00336,0.000239802,0.000239802,0.000239802
13,162.888,1.65021,1.53172,0.00231,0.83089,0.7676,0.84428,0.54943,1.64415,1.49784,0.00334,0.000205471,0.000205471,0.000205471
14,173.771,1.67365,1.55259,0.00238,0.85804,0.75307,0.8511,0.55776,1.64077,1.46506,0.00338,0.000172852,0.000172852,0.000172852
15,184.636,1.66707,1.48049,0.00235,0.86425,0.75754,0.85544,0.55971,1.63858,1.44142,0.00337,0.000142748,0.000142748,0.000142748
16,195.451,1.6751,1.57115,0.00233,0.85711,0.76401,0.85589,0.56102,1.63391,1.44193,0.00338,0.000115901,0.000115901,0.000115901
17,206.299,1.68985,1.5235,0.00232,0.85631,0.76201,0.85734,0.56236,1.64486,1.40755,0.00345,9.29712e-05,9.29712e-05,9.29712e-05
18,217.078,1.66404,1.46919,0.00238,0.851,0.7658,0.85777,0.56241,1.64425,1.39586,0.00344,7.45235e-05,7.45235e-05,7.45235e-05
19,227.884,1.65608,1.46373,0.00234,0.84351,0.77089,0.85743,0.5644,1.64179,1.38144,0.00343,6.10123e-05,6.10123e-05,6.10123e-05
20,238.709,1.6601,1.44414,0.00231,0.84983,0.77142,0.85863,0.5656,1.64065,1.37806,0.00343,5.27701e-05,5.27701e-05,5.27701e-05
