epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.5977,0.98332,1.65134,0.00186,0.73232,0.68475,0.75393,0.43191,0.9698,0.60862,0.00232,0.000588235,0.000588235,0.0809804
2,60.8499,0.94309,0.68643,0.00177,0.86464,0.72,0.8369,0.5026,0.97107,0.42502,0.00236,0.0011836,0.0011836,0.0615758
3,82.2986,0.92307,0.53455,0.00172,0.8708,0.77598,0.86409,0.49666,1.05171,0.38007,0.00256,0.00176043,0.00176043,0.0421526
4,103.556,0.92644,0.48712,0.00181,0.86793,0.78432,0.87173,0.51537,1.01455,0.36765,0.00253,0.00230522,0.00230522,0.0226974
5,125,0.93589,0.46043,0.00177,0.87033,0.78894,0.87763,0.55107,0.94779,0.34512,0.00226,0.00280527,0.00280527,0.00319743
6,146.275,0.9286,0.44233,0.00178,0.86019,0.81133,0.88085,0.51865,1.04176,0.35454,0.00257,0.00271639,0.00271639,0.00271639
7,167.64,0.92251,0.42505,0.00175,0.88603,0.80048,0.88846,0.52136,1.03623,0.35307,0.00253,0.00259752,0.00259752,0.00259752
8,188.849,0.90092,0.41361,0.00174,0.86859,0.82875,0.89124,0.5368,1.00357,0.33893,0.00245,0.00246157,0.00246157,0.00246157
9,210.225,0.90099,0.40722,0.00173,0.86177,0.83725,0.8971,0.58051,0.91027,0.31019,0.00214,0.0023107,0.0023107,0.0023107
10,231.442,0.89477,0.40093,0.00173,0.88701,0.8252,0.89797,0.5866,0.89146,0.30794,0.00214,0.00214728,0.00214728,0.00214728
11,252.716,0.89951,0.39402,0.00168,0.87872,0.82108,0.89513,0.57391,0.92318,0.32033,0.0021,0.00197389,0.00197389,0.00197389
12,273.896,0.89125,0.4021,0.00165,0.88334,0.8252,0.89809,0.56233,0.948,0.325,0.00236,0.00179326,0.00179326,0.00179326
13,295.229,0.87962,0.38925,0.00164,0.88701,0.8264,0.89891,0.61849,0.81721,0.29687,0.00192,0.00160824,0.00160824,0.00160824
14,316.501,0.85616,0.37851,0.00158,0.88928,0.8264,0.89746,0.56059,0.9583,0.31956,0.00228,0.00142176,0.00142176,0.00142176
15,337.787,0.83334,0.35484,0.00152,0.87968,0.83735,0.90162,0.59137,0.8935,0.30383,0.0021,0.00123674,0.00123674,0.00123674
16,367.531,0.80168,0.31669,0.00149,0.88437,0.83303,0.90093,0.58692,0.90958,0.31232,0.00216,0.00105611,0.00105611,0.00105611
17,388.486,0.77463,0.31097,0.00142,0.88431,0.83395,0.90286,0.57748,0.92766,0.31214,0.00228,0.000882718,0.000882718,0.000882718
18,409.502,0.77133,0.30586,0.00139,0.88202,0.83821,0.90143,0.60858,0.85307,0.29972,0.00203,0.000719297,0.000719297,0.000719297
19,430.555,0.76038,0.29881,0.00137,0.88537,0.83544,0.90073,0.57692,0.93453,0.3087,0.00211,0.000568425,0.000568425,0.000568425
20,451.612,0.76048,0.29497,0.00138,0.88738,0.83605,0.90311,0.57159,0.94152,0.3119,0.00213,0.000432482,0.000432482,0.000432482
21,472.658,0.75421,0.29608,0.00135,0.8947,0.82971,0.90171,0.59412,0.8905,0.3013,0.00206,0.00031361,0.00031361,0.00031361
22,493.597,0.74855,0.28768,0.00135,0.90303,0.8258,0.90494,0.59278,0.89379,0.30022,0.00205,0.000213685,0.000213685,0.000213685
23,514.536,0.74853,0.28954,0.00134,0.89537,0.83183,0.90466,0.60322,0.87358,0.29453,0.00203,0.000134282,0.000134282,0.000134282
24,535.401,0.7554,0.29204,0.00134,0.89652,0.8356,0.9045,0.5833,0.91751,0.30328,0.0021,7.6654e-05,7.6654e-05,7.6654e-05
25,556.314,0.74994,0.29017,0.00134,0.89997,0.83512,0.90422,0.59208,0.89726,0.30023,0.00205,4.17097e-05,4.17097e-05,4.17097e-05
