epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.4735,2.47029,1.97676,0.00444,0.04676,0.43911,0.10923,0.07213,2.20439,1.38186,0.00469,0.00036,0.00036,0.08836
2,14.6318,2.29512,1.47786,0.00402,0.85719,0.43911,0.54814,0.33152,2.26557,0.97668,0.00474,0.000745614,0.000745614,0.0757456
3,17.7238,2.22022,0.98444,0.00367,0.78151,0.55152,0.66349,0.38559,2.34517,0.65222,0.00483,0.0011135,0.0011135,0.0631135
4,20.8193,2.19468,0.76619,0.0036,0.76698,0.59211,0.70068,0.41626,2.23625,0.60773,0.00456,0.00145079,0.00145079,0.0504508
5,23.9238,2.13634,0.64634,0.00355,0.78632,0.59441,0.71778,0.44176,2.12649,0.51004,0.00443,0.00174582,0.00174582,0.0377458
6,26.9611,2.16586,0.6025,0.00352,0.81962,0.6194,0.73862,0.40239,2.38447,0.51478,0.00491,0.00198862,0.00198862,0.0249886
7,29.9543,2.11719,0.54732,0.00348,0.76771,0.64246,0.74371,0.45314,2.09864,0.47758,0.00445,0.00217133,0.00217133,0.0121713
8,32.9424,2.10639,0.52665,0.00344,0.78578,0.66806,0.75347,0.45854,2.10432,0.44056,0.00437,0.00222194,0.00222194,0.00222194
9,35.8907,2.0653,0.50005,0.00339,0.79132,0.66944,0.76154,0.46124,2.09288,0.43436,0.00437,0.00201535,0.00201535,0.00201535
10,38.8498,2.03778,0.47954,0.00325,0.78334,0.70503,0.76913,0.45746,2.13434,0.43954,0.0044,0.00179792,0.00179792,0.00179792
11,41.8588,2.02834,0.45064,0.00324,0.78515,0.70503,0.77469,0.44771,2.19065,0.43416,0.0046,0.001575,0.001575,0.001575
12,44.7631,2.00375,0.44185,0.00318,0.78997,0.70391,0.77845,0.44945,2.19896,0.42031,0.00463,0.00135208,0.00135208,0.00135208
13,47.6677,2.0017,0.43036,0.00316,0.77943,0.70279,0.77638,0.4502,2.23399,0.43136,0.00453,0.00113465,0.00113465,0.00113465
14,50.559,1.98947,0.43068,0.00316,0.79837,0.69901,0.78001,0.48388,2.02173,0.3986,0.00425,0.000928064,0.000928064,0.000928064
15,53.5089,1.97238,0.41645,0.00311,0.79991,0.69721,0.78086,0.46867,2.11455,0.40853,0.00429,0.000737406,0.000737406,0.000737406
16,56.5234,1.95527,0.41037,0.00307,0.80914,0.70579,0.78416,0.46283,2.16129,0.41171,0.00444,0.000567373,0.000567373,0.000567373
17,59.4155,1.96986,0.41696,0.00311,0.81295,0.70168,0.78659,0.46989,2.14073,0.40386,0.00436,0.000422151,0.000422151,0.000422151
18,62.3038,1.95932,0.40757,0.00313,0.81432,0.70074,0.78774,0.46809,2.14904,0.4079,0.00446,0.000305316,0.000305316,0.000305316
19,65.2149,1.91864,0.3941,0.00301,0.82489,0.68827,0.7886,0.47524,2.12054,0.40308,0.00434,0.000219744,0.000219744,0.000219744
20,68.1431,1.95014,0.40704,0.00311,0.82459,0.68807,0.78719,0.46857,2.16026,0.4078,0.00438,0.000167544,0.000167544,0.000167544
