epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.4997,1.65647,3.71078,0.00075,0.8154,0.62273,0.7445,0.46787,1.45572,1.33963,0.00075,0.00066,0.00066,0.07866
2,20.7713,1.56452,1.59977,0.00068,0.83659,0.71469,0.82526,0.50191,1.49282,0.92034,0.00076,0.00134252,0.00134252,0.0563425
3,31.2979,1.52032,1.20193,0.00064,0.86131,0.73819,0.8471,0.49315,1.578,0.84034,0.00082,0.00199507,0.00199507,0.0339951
4,41.869,1.51472,1.07703,0.00065,0.87638,0.73393,0.84625,0.52651,1.45117,0.77196,0.00076,0.0025961,0.0025961,0.0115961
5,57.4624,1.47757,1.01366,0.00064,0.84861,0.78162,0.85453,0.50218,1.56185,0.76311,0.00085,0.00274217,0.00274217,0.00274217
6,103.011,1.51229,0.98059,0.00064,0.89026,0.76434,0.86577,0.51536,1.53435,0.75435,0.00085,0.00260459,0.00260459,0.00260459
7,129.466,1.4652,0.93627,0.00062,0.86867,0.77747,0.86684,0.53068,1.47037,0.73775,0.00077,0.00244351,0.00244351,0.00244351
8,139.827,1.50281,0.91661,0.00062,0.88137,0.79959,0.87841,0.54789,1.43289,0.69077,0.00077,0.00226289,0.00226289,0.00226289
9,150.068,1.45552,0.89844,0.0006,0.874,0.79889,0.87827,0.55286,1.41895,0.73374,0.00077,0.00206717,0.00206717,0.00206717
10,160.307,1.44107,0.86128,0.00062,0.88264,0.81081,0.88627,0.52741,1.52608,0.71464,0.00084,0.00186119,0.00186119,0.00186119
11,177.062,1.38898,0.763,0.00057,0.87673,0.81963,0.8904,0.5285,1.52686,0.70961,0.00084,0.00165,0.00165,0.00165
12,187.286,1.33578,0.72806,0.00055,0.88221,0.80926,0.89357,0.57674,1.35538,0.65521,0.00069,0.00143881,0.00143881,0.00143881
13,197.532,1.35261,0.74083,0.00054,0.89531,0.81563,0.89258,0.56768,1.39169,0.66687,0.00074,0.00123283,0.00123283,0.00123283
14,207.746,1.33176,0.73517,0.00053,0.89646,0.80857,0.89523,0.55845,1.42236,0.67367,0.00074,0.00103711,0.00103711,0.00103711
15,217.953,1.33585,0.71124,0.00052,0.88975,0.81479,0.89422,0.5789,1.34303,0.65184,0.00069,0.00085649,0.00085649,0.00085649
16,228.234,1.32012,0.72172,0.00053,0.88599,0.82168,0.89432,0.54041,1.48973,0.68176,0.00079,0.000695406,0.000695406,0.000695406
17,238.418,1.36174,0.72213,0.00051,0.89272,0.80926,0.89439,0.56595,1.4009,0.6715,0.00072,0.000557827,0.000557827,0.000557827
18,248.623,1.35724,0.71402,0.00051,0.8908,0.81743,0.89576,0.5649,1.40377,0.66207,0.00071,0.000447141,0.000447141,0.000447141
19,258.837,1.32024,0.70101,0.00051,0.88754,0.82585,0.89662,0.57065,1.38691,0.6561,0.0007,0.000366074,0.000366074,0.000366074
20,269.063,1.3101,0.69678,0.00051,0.88394,0.82516,0.89498,0.56405,1.40666,0.65926,0.0007,0.000316621,0.000316621,0.000316621
