epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.01057,0.52445,1.93818,0.00241,0.80661,0.72564,0.81058,0.46449,0.43152,1.13867,0.00273,0.00044,0.00044,0.00044
2,11.7342,0.49643,1.24832,0.00235,0.81528,0.74084,0.82079,0.48475,0.4186,0.98208,0.00267,0.000894737,0.000894737,0.000894737
3,17.4334,0.53012,1.17287,0.00232,0.81125,0.7678,0.82745,0.47339,0.42999,1.00959,0.00281,0.00132838,0.00132838,0.00132838
4,23.0107,0.52429,1.08076,0.00226,0.84382,0.73117,0.82686,0.51038,0.40481,0.81862,0.00258,0.00172578,0.00172578,0.00172578
5,28.7163,0.52664,1.07437,0.00231,0.84232,0.77056,0.84697,0.49044,0.43231,0.80465,0.00278,0.00181857,0.00181857,0.00181857
6,34.3222,0.5209,1.04654,0.00233,0.84596,0.76288,0.84371,0.50066,0.42643,0.78113,0.00277,0.00172175,0.00172175,0.00172175
7,39.9518,0.51446,1.10582,0.0023,0.82777,0.76503,0.84657,0.48412,0.43848,0.79639,0.00307,0.0016084,0.0016084,0.0016084
8,45.8881,0.51076,1.04554,0.00226,0.86592,0.76765,0.85438,0.52073,0.4058,0.73507,0.00257,0.00148129,0.00148129,0.00148129
9,51.5628,0.48717,1.00891,0.00213,0.84034,0.78162,0.85987,0.49783,0.42349,0.76591,0.00272,0.00134357,0.00134357,0.00134357
10,57.1753,0.51214,1.06979,0.00206,0.87882,0.80373,0.87921,0.53381,0.40566,0.8461,0.0028,0.00119861,0.00119861,0.00119861
11,68.6465,0.4601,0.98846,0.0024,0.84363,0.78991,0.85317,0.48231,0.45503,0.77333,0.00308,0.00105,0.00105,0.00105
12,73.9655,0.42603,0.81747,0.00225,0.87662,0.78853,0.8723,0.49739,0.43059,0.8782,0.00275,0.000901387,0.000901387,0.000901387
13,79.1428,0.42877,0.82669,0.00225,0.89058,0.7754,0.87175,0.52101,0.41325,0.71318,0.00259,0.000756434,0.000756434,0.000756434
14,84.3609,0.41403,0.77173,0.002,0.86638,0.81551,0.87896,0.53042,0.4041,0.7011,0.00245,0.000618709,0.000618709,0.000618709
15,89.5873,0.41641,0.74232,0.00209,0.85457,0.81216,0.87976,0.54674,0.39088,0.71151,0.00272,0.000491604,0.000491604,0.000491604
16,94.8386,0.41696,0.74421,0.00212,0.85963,0.81684,0.88064,0.50214,0.44011,0.70167,0.00263,0.000378249,0.000378249,0.000378249
17,100.119,0.42002,0.72511,0.00193,0.85926,0.83068,0.88621,0.52658,0.41076,0.68258,0.00265,0.000281434,0.000281434,0.000281434
18,105.311,0.40018,0.70312,0.00181,0.88493,0.80304,0.88464,0.54949,0.39036,0.66275,0.00236,0.000203544,0.000203544,0.000203544
19,110.539,0.39018,0.69288,0.0018,0.89425,0.79479,0.88342,0.5284,0.41164,0.68149,0.00249,0.000146496,0.000146496,0.000146496
20,115.734,0.38451,0.69246,0.00175,0.89472,0.80235,0.88732,0.54635,0.39225,0.66717,0.00236,0.000111696,0.000111696,0.000111696
