epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.3507,1.5776,1.51858,0.00053,0.82728,0.75065,0.83515,0.53926,1.32061,0.5157,0.00075,0.000392157,0.000392157,0.000392157
2,62.1307,1.62995,0.66363,0.00056,0.86818,0.73478,0.83206,0.53655,1.39465,0.4258,0.0008,0.000789065,0.000789065,0.000789065
3,83.7309,1.62686,0.53611,0.00058,0.87847,0.7712,0.84967,0.55262,1.40279,0.3604,0.00079,0.00117362,0.00117362,0.00117362
4,105.671,1.66005,0.54979,0.00059,0.86658,0.77034,0.85811,0.53828,1.43706,0.39513,0.00088,0.00153681,0.00153681,0.00153681
5,127.454,1.74292,0.52297,0.00058,0.85548,0.75289,0.84113,0.53416,1.42042,0.37821,0.00083,0.00187018,0.00187018,0.00187018
6,149.086,1.81236,0.5488,0.00066,0.82851,0.76588,0.83985,0.53285,1.43404,0.39533,0.00089,0.00181093,0.00181093,0.00181093
7,170.781,1.68126,0.52094,0.00058,0.83918,0.7601,0.84507,0.55272,1.37331,0.39149,0.0008,0.00173168,0.00173168,0.00173168
8,192.403,1.59916,0.47279,0.00059,0.84574,0.7832,0.86808,0.57095,1.31262,0.37479,0.00076,0.00164105,0.00164105,0.00164105
9,214.185,1.60906,0.5388,0.00055,0.85894,0.78059,0.85841,0.55796,1.38846,0.36427,0.00083,0.00154047,0.00154047,0.00154047
10,235.769,1.59234,0.44006,0.00056,0.8879,0.79385,0.87825,0.58209,1.30989,0.35443,0.00075,0.00143152,0.00143152,0.00143152
11,257.469,1.56833,0.41378,0.00053,0.89425,0.80029,0.88405,0.58157,1.31409,0.33927,0.00075,0.00131593,0.00131593,0.00131593
12,279.041,1.56506,0.41754,0.00049,0.87918,0.81977,0.88811,0.60392,1.25655,0.33491,0.00071,0.00119551,0.00119551,0.00119551
13,300.652,1.42116,0.37757,0.00048,0.86299,0.82009,0.88568,0.61496,1.22089,0.31473,0.00067,0.00107216,0.00107216,0.00107216
14,322.325,1.45677,0.37475,0.00046,0.88852,0.82459,0.89472,0.60314,1.27105,0.31974,0.00077,0.000947837,0.000947837,0.000947837
15,343.868,1.36373,0.35358,0.00046,0.89018,0.827,0.89654,0.61761,1.2279,0.30851,0.00071,0.000824492,0.000824492,0.000824492
16,374.604,1.30644,0.35814,0.0005,0.88782,0.81555,0.8917,0.61088,1.24568,0.32038,0.00069,0.000704073,0.000704073,0.000704073
17,395.782,1.28341,0.34095,0.00048,0.89054,0.82821,0.89625,0.6217,1.19722,0.30868,0.00066,0.000588479,0.000588479,0.000588479
18,417.077,1.24455,0.32301,0.00045,0.89658,0.80711,0.89446,0.62689,1.18348,0.30909,0.00065,0.000479531,0.000479531,0.000479531
19,438.581,1.21794,0.31471,0.00044,0.89054,0.82399,0.89882,0.62654,1.18143,0.30591,0.00065,0.00037895,0.00037895,0.00037895
20,459.878,1.18475,0.31068,0.00045,0.89824,0.82339,0.89937,0.63037,1.1828,0.30445,0.00064,0.000288321,0.000288321,0.000288321
21,481.428,1.20012,0.31174,0.00042,0.88568,0.83424,0.9012,0.63518,1.17142,0.29877,0.00064,0.000209073,0.000209073,0.000209073
22,502.784,1.18675,0.31372,0.00043,0.89851,0.83246,0.90464,0.63534,1.15568,0.30421,0.00063,0.000142456,0.000142456,0.000142456
23,524.071,1.17395,0.30449,0.00042,0.90185,0.82761,0.90467,0.64293,1.13978,0.29732,0.00061,8.95213e-05,8.95213e-05,8.95213e-05
24,545.342,1.19444,0.30384,0.00041,0.89478,0.84087,0.90319,0.64302,1.14,0.2961,0.00061,5.11027e-05,5.11027e-05,5.11027e-05
25,566.585,1.17497,0.3065,0.00041,0.88812,0.84448,0.90417,0.64377,1.13822,0.29431,0.00061,2.78064e-05,2.78064e-05,2.78064e-05
