epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.1005,2.58378,1.33481,0.0028,0.10869,0.64693,0.3271,0.14382,3.0436,1.51689,0.00508,1.92308e-05,1.92308e-05,0.0807885
2,21.5437,2.42345,0.60484,0.00262,0.88684,0.47284,0.66544,0.31969,2.73563,0.94929,0.00347,3.73673e-05,3.73673e-05,0.0608066
3,28.0783,2.29107,0.55929,0.0025,0.81225,0.64246,0.74417,0.34198,2.7378,0.55346,0.00359,5.36038e-05,5.36038e-05,0.0408228
4,34.5844,2.22152,0.515,0.00229,0.82306,0.68715,0.78087,0.37937,2.56696,0.4864,0.00354,6.79404e-05,6.79404e-05,0.0208372
5,41.1949,2.12047,0.49227,0.00222,0.85595,0.72179,0.80572,0.4436,2.2713,0.46355,0.00279,8.03769e-05,8.03769e-05,0.000849608
6,47.7215,2.11727,0.48889,0.00221,0.86389,0.72402,0.81396,0.45106,2.21866,0.43199,0.00269,7.625e-05,7.625e-05,7.625e-05
7,54.2491,2.01084,0.45636,0.00208,0.85826,0.71715,0.809,0.46539,2.12734,0.42377,0.00264,7.15e-05,7.15e-05,7.15e-05
8,60.7636,1.96258,0.44891,0.00209,0.85942,0.71037,0.81587,0.44753,2.25785,0.41971,0.00283,6.675e-05,6.675e-05,6.675e-05
9,67.2487,2.00051,0.44783,0.00207,0.84967,0.72626,0.81995,0.48332,2.0746,0.40903,0.00254,6.2e-05,6.2e-05,6.2e-05
10,73.7655,1.97945,0.43933,0.00198,0.85285,0.7419,0.8278,0.49187,2.04768,0.39531,0.00252,5.725e-05,5.725e-05,5.725e-05
11,80.2773,1.9288,0.41996,0.002,0.85604,0.75742,0.83421,0.50181,2.01966,0.37768,0.00248,5.25e-05,5.25e-05,5.25e-05
12,86.9143,1.93236,0.42977,0.00198,0.84408,0.75307,0.83445,0.49877,2.01806,0.3765,0.00243,4.775e-05,4.775e-05,4.775e-05
13,93.3209,1.92707,0.41545,0.00193,0.84138,0.7527,0.83126,0.49358,2.05563,0.38225,0.00242,4.3e-05,4.3e-05,4.3e-05
14,99.7294,1.93206,0.43174,0.00193,0.84148,0.75419,0.83676,0.50507,2.01468,0.37652,0.00243,3.825e-05,3.825e-05,3.825e-05
15,106.263,1.88215,0.40426,0.00187,0.84094,0.75023,0.83591,0.51326,1.95045,0.36954,0.00239,3.35e-05,3.35e-05,3.35e-05
16,112.939,1.90083,0.43245,0.00183,0.85321,0.74688,0.83867,0.50643,1.99473,0.37419,0.00244,2.875e-05,2.875e-05,2.875e-05
17,119.356,1.89207,0.41847,0.00183,0.86122,0.75577,0.84215,0.51048,1.98111,0.37209,0.00239,2.4e-05,2.4e-05,2.4e-05
18,125.769,1.87797,0.41754,0.00193,0.8578,0.75754,0.84094,0.51695,1.944,0.36823,0.00231,1.925e-05,1.925e-05,1.925e-05
19,132.311,1.85031,0.41463,0.00184,0.86028,0.75642,0.84123,0.51969,1.92115,0.36342,0.00228,1.45e-05,1.45e-05,1.45e-05
20,138.875,1.89394,0.40538,0.00182,0.86027,0.75754,0.84284,0.52059,1.91018,0.36122,0.00225,9.75e-06,9.75e-06,9.75e-06
