epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.7683,1.66601,6.18312,0.00059,0.75475,0.74942,0.8009,0.4282,1.61638,2.2708,0.00087,0.000392157,0.000392157,0.000392157
2,61.4742,1.67202,2.43224,0.0006,0.85235,0.79265,0.85788,0.5109,1.5324,1.53334,0.00087,0.000789346,0.000789346,0.000789346
3,83.1566,1.64307,1.94016,0.00063,0.82473,0.78569,0.84402,0.48394,1.60544,1.77176,0.00092,0.0011753,0.0011753,0.0011753
4,104.654,1.70461,2.04322,0.00062,0.84673,0.81133,0.87025,0.54514,1.4501,1.45728,0.00084,0.00154184,0.00154184,0.00154184
5,126.434,1.73693,1.91816,0.00058,0.84559,0.77456,0.85703,0.47977,1.6658,1.57104,0.00095,0.00188127,0.00188127,0.00188127
6,148.031,1.66022,1.88122,0.00058,0.88786,0.77336,0.86642,0.54422,1.48736,1.52995,0.00083,0.00182812,0.00182812,0.00182812
7,169.689,1.676,1.78366,0.00062,0.87203,0.79506,0.87759,0.53232,1.51181,1.42928,0.00083,0.00175607,0.00175607,0.00175607
8,191.199,1.65478,1.94058,0.00062,0.88767,0.78119,0.875,0.52856,1.52046,1.52944,0.00087,0.00167368,0.00167368,0.00167368
9,212.847,1.7339,1.9066,0.00063,0.8567,0.80651,0.87409,0.54984,1.454,1.57712,0.00091,0.00158224,0.00158224,0.00158224
10,234.392,1.74181,1.92579,0.00066,0.88057,0.78782,0.87882,0.4589,1.77891,1.72763,0.00118,0.0014832,0.0014832,0.0014832
11,255.884,1.63141,1.65679,0.00058,0.87012,0.80364,0.87865,0.53782,1.48164,1.43749,0.00084,0.00137812,0.00137812,0.00137812
12,277.407,1.62001,1.61699,0.00053,0.86958,0.80783,0.87779,0.53846,1.5026,1.44578,0.00081,0.00126864,0.00126864,0.00126864
13,298.799,1.4932,1.51807,0.00053,0.88851,0.80711,0.88227,0.54523,1.48994,1.39992,0.0008,0.00115651,0.00115651,0.00115651
14,320.296,1.60339,1.53618,0.00056,0.8716,0.81836,0.88737,0.52283,1.57667,1.43971,0.00086,0.00104349,0.00104349,0.00104349
15,341.73,1.47179,1.43522,0.00054,0.87976,0.82158,0.89229,0.52417,1.57429,1.39646,0.00086,0.000931357,0.000931357,0.000931357
16,363.278,1.47976,1.41735,0.00053,0.88468,0.82776,0.89157,0.51907,1.57969,1.37508,0.00088,0.000821885,0.000821885,0.000821885
17,384.841,1.49622,1.44972,0.00049,0.88322,0.82942,0.8968,0.51687,1.60277,1.38948,0.00084,0.000716799,0.000716799,0.000716799
18,406.29,1.49557,1.40017,0.00049,0.87469,0.83665,0.89919,0.57494,1.39611,1.31705,0.00077,0.000617756,0.000617756,0.000617756
19,427.923,1.4152,1.32319,0.00046,0.88585,0.84198,0.90162,0.54979,1.48008,1.28643,0.0008,0.000526318,0.000526318,0.000526318
20,449.387,1.37285,1.30095,0.00046,0.87838,0.84931,0.90414,0.56974,1.44197,1.26315,0.00075,0.000443928,0.000443928,0.000443928
21,479.679,1.28924,1.24652,0.00049,0.8729,0.84038,0.89728,0.54865,1.49582,1.33612,0.00078,0.000371885,0.000371885,0.000371885
22,500.819,1.25418,1.22698,0.0005,0.89291,0.82925,0.90237,0.55746,1.46888,1.31688,0.00077,0.000311324,0.000311324,0.000311324
23,521.958,1.29593,1.24694,0.00049,0.89493,0.82399,0.89968,0.57395,1.42911,1.28903,0.00075,0.000263201,0.000263201,0.000263201
24,543.105,1.28724,1.21572,0.00048,0.88275,0.84991,0.90946,0.58712,1.3728,1.22756,0.00073,0.000228275,0.000228275,0.000228275
25,564.438,1.25322,1.2034,0.00049,0.87421,0.84623,0.90364,0.5598,1.46821,1.33823,0.00076,0.000207097,0.000207097,0.000207097
