epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.4698,1.58106,17.7659,0.00106,0.00052,0.00894,0,0,1.12373,15.6534,0.00099,0.0006,0.0006,0.0946
2,16.8187,1.41779,17.0779,0.00095,0.00065,0.01117,1e-05,0,1.13561,15.2775,0.00098,0.00129208,0.00129208,0.0882921
3,19.1751,1.3267,13.2358,0.00084,0.00072,0.01229,2e-05,0,1.1404,12.7584,0.001,0.00195155,0.00195155,0.0819515
4,21.4755,1.31448,9.22892,0.00083,0.00092,0.01564,0.00501,0.00313,1.15197,13.2025,0.001,0.00255433,0.00255433,0.0755543
5,23.8292,1.29273,7.58677,0.00077,0.03529,0.60335,0.3318,0.1595,1.17463,12.7934,0.00104,0.00307858,0.00307858,0.0690786
6,26.1934,1.25654,6.94266,0.00073,0.04791,0.81899,0.37406,0.15923,1.21532,11.7408,0.00104,0.00350557,0.00350557,0.0625056
7,28.5679,1.24725,6.60892,0.00073,0.05307,0.90726,0.4433,0.20803,1.17387,10.7801,0.00102,0.00382058,0.00382058,0.0558206
8,30.8878,1.22815,6.44467,0.00071,0.05275,0.90168,0.45173,0.21153,1.16333,10.6586,0.00099,0.00401349,0.00401349,0.0490135
9,33.1424,1.17836,6.47887,0.0007,0.05333,0.91173,0.48142,0.23562,1.16612,8.95218,0.00099,0.00407937,0.00407937,0.0420794
10,35.443,1.19672,6.3283,0.0007,0.10965,0.90168,0.5074,0.24834,1.17206,8.76927,0.00101,0.0040188,0.0040188,0.0350188
11,37.7353,1.29591,5.96056,0.00073,0.65945,0.30939,0.48733,0.23259,1.14728,7.6869,0.00096,0.003838,0.003838,0.027838
12,40.0285,1.19288,6.19323,0.00072,0.66406,0.38872,0.53953,0.27448,1.14362,7.35675,0.00096,0.00354879,0.00354879,0.0205488
13,42.3384,1.19527,5.96305,0.00068,0.55424,0.5404,0.54887,0.27759,1.16557,8.10448,0.00098,0.00316833,0.00316833,0.0131683
14,44.668,1.19673,5.80369,0.00068,0.76344,0.32092,0.56923,0.27571,1.13609,7.81392,0.00095,0.00271866,0.00271866,0.00571866
15,46.9825,1.19659,5.71259,0.00068,0.70542,0.46034,0.59236,0.32439,1.12115,6.97931,0.00093,0.00214046,0.00214046,0.00214046
16,49.3418,1.19849,5.65672,0.00066,0.62019,0.56425,0.61217,0.32092,1.12161,6.01373,0.00095,0.00154982,0.00154982,0.00154982
17,51.6421,1.19473,5.41144,0.00067,0.64101,0.54972,0.62054,0.32146,1.149,6.13426,0.00095,0.00104537,0.00104537,0.00104537
18,53.9652,1.21392,5.66685,0.00067,0.63768,0.57318,0.63348,0.3352,1.1337,5.63277,0.00093,0.000639518,0.000639518,0.000639518
19,56.2534,1.13715,5.21847,0.00069,0.63717,0.58771,0.6446,0.34202,1.12671,5.55635,0.00093,0.00034227,0.00034227,0.00034227
20,58.592,1.13795,5.2251,0.00066,0.63548,0.59218,0.64613,0.34689,1.12371,5.28528,0.00093,0.000160943,0.000160943,0.000160943
