epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.1223,0.4502,4.26739,0.00074,0.87049,0.71113,0.81226,0.49023,0.41392,1.91371,0.00099,0.000325926,0.000325926,0.0677333
2,44.1195,0.41791,1.76971,0.00067,0.88473,0.75812,0.85581,0.52201,0.39788,1.52549,0.0009,0.000655221,0.000655221,0.0347293
3,62.1846,0.39866,1.57783,0.00064,0.8763,0.79799,0.87876,0.56377,0.35648,1.3993,0.00076,0.000968424,0.000968424,0.00170916
4,80.2266,0.38494,1.53332,0.0006,0.88666,0.81635,0.88809,0.55371,0.37667,1.39562,0.0008,0.000945776,0.000945776,0.000945776
5,98.1195,0.3851,1.5028,0.00062,0.90173,0.77471,0.87564,0.54634,0.37323,1.50949,0.00086,0.000904986,0.000904986,0.000904986
6,116.036,0.37304,1.41458,0.00063,0.88674,0.81755,0.89056,0.58467,0.34194,1.33744,0.00078,0.000854286,0.000854286,0.000854286
7,134.119,0.38646,1.46646,0.00063,0.89394,0.8065,0.88342,0.54482,0.38057,1.37333,0.00081,0.000794923,0.000794923,0.000794923
8,152.126,0.38138,1.47408,0.00063,0.88834,0.75605,0.84968,0.50927,0.40008,1.65347,0.00094,0.00072836,0.00072836,0.00072836
9,170.093,0.35637,1.41193,0.00057,0.90239,0.8065,0.89774,0.59006,0.34038,1.28139,0.00073,0.000656236,0.000656236,0.000656236
10,188.153,0.3616,1.38451,0.00058,0.89012,0.81735,0.90206,0.59189,0.3386,1.23579,0.00072,0.000580326,0.000580326,0.000580326
11,206.225,0.35802,1.35485,0.00054,0.86733,0.83276,0.89728,0.59829,0.33749,1.25695,0.00071,0.0005025,0.0005025,0.0005025
12,224.294,0.34984,1.30403,0.00053,0.87493,0.82999,0.89424,0.59874,0.33501,1.30895,0.00073,0.000424674,0.000424674,0.000424674
13,242.329,0.35572,1.29791,0.00055,0.87489,0.83898,0.9035,0.58154,0.36104,1.24954,0.00075,0.000348764,0.000348764,0.000348764
14,260.3,0.34577,1.24552,0.00054,0.89858,0.82377,0.91043,0.60866,0.33394,1.24663,0.00069,0.00027664,0.00027664,0.00027664
15,278.376,0.36519,1.28645,0.00056,0.87579,0.83829,0.91069,0.60049,0.33658,1.23138,0.00073,0.000210077,0.000210077,0.000210077
16,296.325,0.33634,1.20118,0.00049,0.89139,0.83483,0.90881,0.61373,0.32581,1.17537,0.00067,0.000150714,0.000150714,0.000150714
17,314.408,0.32953,1.14662,0.00049,0.9111,0.82032,0.91191,0.62417,0.32036,1.1608,0.00066,0.000100014,0.000100014,0.000100014
18,332.467,0.3176,1.14799,0.00048,0.90805,0.82446,0.91233,0.62945,0.31609,1.15007,0.00065,5.92243e-05,5.92243e-05,5.92243e-05
19,350.554,0.31987,1.14956,0.00046,0.8947,0.8397,0.91356,0.6327,0.31357,1.15212,0.00065,2.93494e-05,2.93494e-05,2.93494e-05
20,368.71,0.31892,1.13999,0.00047,0.8947,0.84243,0.9137,0.63359,0.31315,1.15189,0.00064,1.11251e-05,1.11251e-05,1.11251e-05
