epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.2576,1.01204,6.16396,0.00191,0.81558,0.74382,0.82811,0.4644,1.02644,1.81074,0.00241,0.0015,0.0015,0.0515
2,60.3629,0.96329,2.0857,0.00182,0.87272,0.79356,0.87134,0.50382,1.04001,1.47006,0.00249,0.00298876,0.00298876,0.00298876
3,81.7451,0.95126,1.7258,0.0018,0.8691,0.80651,0.87331,0.50546,1.05611,1.40016,0.00264,0.00295523,0.00295523,0.00295523
4,103.099,0.93891,1.70397,0.00185,0.88457,0.79265,0.87893,0.5523,0.95362,1.36396,0.00228,0.00289993,0.00289993,0.00289993
5,124.492,0.91199,1.71334,0.00167,0.87169,0.79988,0.88435,0.55462,0.95651,1.37554,0.00221,0.00282374,0.00282374,0.00282374
6,145.808,0.88516,1.67958,0.00164,0.86865,0.82114,0.89101,0.55296,0.97001,1.37816,0.00238,0.00272785,0.00272785,0.00272785
7,167.196,0.89734,1.5626,0.00167,0.89133,0.82074,0.89302,0.51514,1.06311,1.33944,0.00266,0.00261378,0.00261378,0.00261378
8,188.477,0.88396,1.52797,0.00167,0.87978,0.83785,0.89925,0.56104,0.94494,1.29146,0.00243,0.00248333,0.00248333,0.00248333
9,209.844,0.86766,1.53053,0.0016,0.89941,0.8246,0.89983,0.57726,0.91557,1.25426,0.00216,0.00233855,0.00233855,0.00233855
10,231.164,0.86189,1.50325,0.00161,0.90339,0.81193,0.90034,0.59991,0.86099,1.24445,0.00201,0.00218174,0.00218174,0.00218174
11,252.481,0.8582,1.48896,0.00154,0.86384,0.84569,0.90145,0.58478,0.89406,1.27514,0.00204,0.00201535,0.00201535,0.00201535
12,273.668,0.85851,1.48421,0.00155,0.89803,0.81917,0.90358,0.57896,0.91625,1.25503,0.00211,0.00184202,0.00184202,0.00184202
13,294.854,0.85448,1.46322,0.00157,0.88671,0.8351,0.9014,0.58781,0.89836,1.23167,0.00223,0.00166448,0.00166448,0.00166448
14,316.121,0.84413,1.39113,0.00154,0.88823,0.82881,0.89981,0.57025,0.94731,1.2795,0.00224,0.00148552,0.00148552,0.00148552
15,337.254,0.81271,1.30737,0.00146,0.88648,0.83605,0.90424,0.59646,0.88743,1.18144,0.00202,0.00130798,0.00130798,0.00130798
16,367.248,0.77953,1.16037,0.00141,0.89369,0.8258,0.90359,0.55807,0.97123,1.26482,0.00233,0.00113465,0.00113465,0.00113465
17,388.204,0.76361,1.1277,0.00138,0.88423,0.83243,0.90194,0.59067,0.89208,1.2362,0.00209,0.000968265,0.000968265,0.000968265
18,409.168,0.76401,1.10717,0.00136,0.89112,0.82388,0.90293,0.60763,0.8444,1.21423,0.00198,0.000811447,0.000811447,0.000811447
19,430.254,0.74492,1.09719,0.00133,0.89685,0.8252,0.90304,0.59435,0.88952,1.20614,0.00207,0.000666671,0.000666671,0.000666671
20,451.272,0.74485,1.10241,0.00134,0.89995,0.82952,0.90517,0.60206,0.86715,1.2052,0.00201,0.00053622,0.00053622,0.00053622
21,472.302,0.73672,1.09669,0.00131,0.89511,0.83848,0.90518,0.59228,0.89125,1.22253,0.00208,0.000422151,0.000422151,0.000422151
22,493.333,0.73334,1.07233,0.00131,0.8941,0.83966,0.90548,0.59648,0.88621,1.17572,0.00206,0.000326263,0.000326263,0.000326263
23,514.346,0.73713,1.05298,0.00131,0.88914,0.84604,0.90606,0.59432,0.89105,1.1896,0.0021,0.000250069,0.000250069,0.000250069
24,535.309,0.74069,1.078,0.0013,0.8873,0.84268,0.90646,0.60211,0.86819,1.18441,0.00201,0.000194769,0.000194769,0.000194769
25,556.197,0.73282,1.07191,0.00129,0.90247,0.83605,0.90703,0.61622,0.84002,1.16049,0.00198,0.000161237,0.000161237,0.000161237
