trial_id,worker_id,gpu,timestamp,duration_sec,status,count_mse,count_mae,best_conf,count_mse_true_mean,count_mse_pred_mean,n_val_images,mAP50,model,imgsz,batch,optimizer,lr0,lrf,momentum,weight_decay,warmup_epochs,cos_lr,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,fliplr,flipud,mosaic,mixup,copy_paste,erasing,close_mosaic,dropout,error
1776324098054_w0_0000,0,0,2026-04-16 02:21:38,51.36,ok,20.215686274509803,3.588235294117647,0.1,17.54901960784314,17.88235294117647,51,0.5878972249158891,yolo26n.pt,640,32,SGD,0.02,0.05,0.937,0.001,5.0,True,7.5,2.0,2.5,0.0,0.3,0.6,15.0,0.0,0.25,0.5,0.0,0.5,0.1,0.0,0.0,0,0.2,
1776324149413_w0_0001,0,0,2026-04-16 02:22:29,62.08,ok,49.8235294117647,5.705882352941177,0.2,17.54901960784314,14.901960784313726,51,0.3781499339313304,yolo26n.pt,800,16,SGD,0.0005,0.005,0.95,0.0005,3.0,False,2.0,0.25,2.5,0.015,0.9,0.4,15.0,0.0,0.25,0.5,0.0,0.5,0.0,0.0,0.2,20,0.2,
1776324211491_w0_0002,0,0,2026-04-16 02:23:31,49.15,ok,30.11764705882353,4.2745098039215685,0.2,17.54901960784314,16.607843137254903,51,0.4364208332352336,yolo26n.pt,640,16,SGD,0.01,0.05,0.9,0.0001,3.0,True,7.5,0.5,0.5,0.05,0.5,0.6,15.0,0.2,0.8,0.5,0.1,0.0,0.1,0.2,0.2,10,0.1,
1776324260642_w0_0003,0,0,2026-04-16 02:24:20,47.38,ok,52.470588235294116,6.196078431372549,0.2,17.54901960784314,16.058823529411764,51,0.3680357745717392,yolo26n.pt,800,16,SGD,0.0005,0.05,0.95,0.001,1.0,True,7.5,0.5,1.5,0.015,0.9,0.6,5.0,0.2,0.5,0.0,0.1,1.0,0.0,0.5,0.2,0,0.1,
1776324308020_w0_0004,0,0,2026-04-16 02:25:08,257.37,ok,7.137254901960785,1.9607843137254901,0.2,17.54901960784314,17.54901960784314,51,0.858270195797438,yolo26m.pt,1280,8,SGD,0.0005,0.1,0.937,0.0,1.0,True,10.0,1.0,2.5,0.015,0.3,0.4,0.0,0.2,0.25,0.5,0.1,0.5,0.1,0.0,0.4,20,0.2,
1776324565394_w0_0005,0,0,2026-04-16 02:29:25,68.85,failed,,,,,,,,yolo26s.pt,960,32,auto,0.0005,0.1,0.85,0.001,1.0,False,10.0,0.25,2.5,0.015,0.3,0.4,15.0,0.0,0.8,0.0,0.0,0.0,0.1,0.0,0.0,0,0.1,"OutOfMemoryError: CUDA out of memory. Tried to allocate 30.00 MiB. GPU 0 has a total capacity of 23.59 GiB of which 28.69 MiB is free. Process 468506 has 1.62 GiB memory in use. Process 562873 has 1.85 GiB memory in use. Including non-PyTorch memory, this process has 20.04 GiB memory in use. Of the allocated memory 18.97 GiB is allocated by PyTorch, and 703.61 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)"
1776324634272_w0_0006,0,0,2026-04-16 02:30:34,102.25,ok,14.098039215686274,2.9215686274509802,0.25,17.54901960784314,16.823529411764707,51,0.7746847122960246,yolo26s.pt,960,8,AdamW,0.01,0.05,0.9,0.0005,5.0,False,7.5,1.0,1.5,0.05,0.3,0.2,0.0,0.1,0.8,0.0,0.0,0.5,0.1,0.5,0.0,5,0.2,
1776324736530_w0_0007,0,0,2026-04-16 02:32:16,74.09,ok,15.07843137254902,2.7254901960784315,0.25,17.54901960784314,16.274509803921568,51,0.7986225758075031,yolo26s.pt,800,16,SGD,0.01,0.05,0.9,0.0001,5.0,False,7.5,0.5,0.5,0.0,0.5,0.4,15.0,0.0,0.8,0.5,0.0,1.0,0.1,0.0,0.2,10,0.2,
1776324810620_w0_0008,0,0,2026-04-16 02:33:30,72.2,ok,14.980392156862745,2.980392156862745,0.1,17.54901960784314,17.0,51,0.644106070261129,yolo26n.pt,960,32,auto,0.0005,0.1,0.9,0.001,3.0,False,2.0,0.25,2.5,0.05,0.3,0.4,15.0,0.1,0.8,0.5,0.0,0.5,0.0,0.0,0.0,5,0.0,
1776324882819_w0_0009,0,0,2026-04-16 02:34:42,53.33,ok,14.764705882352942,3.0392156862745097,0.1,17.54901960784314,18.07843137254902,51,0.6695445551695632,yolo26n.pt,800,32,AdamW,0.003,0.05,0.85,0.0005,5.0,False,7.5,0.25,2.5,0.0,0.5,0.4,15.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,5,0.2,
