trial_id,worker_id,gpu,timestamp,duration_sec,status,count_mse,count_mae,best_conf,count_mse_true_mean,count_mse_pred_mean,n_val_images,mAP50,model,imgsz,batch,optimizer,lr0,lrf,momentum,weight_decay,warmup_epochs,cos_lr,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,fliplr,flipud,mosaic,mixup,copy_paste,erasing,close_mosaic,dropout,error
1776366718564_w0_0000,0,0,2026-04-16 14:11:58,164.82,ok,6.967032967032967,1.978021978021978,0.25,15.901098901098901,15.923076923076923,91,0.8503729006235523,yolo26n.pt,1280,16,AdamW,0.003,0.1,0.9,0.001,5.0,False,5.0,2.0,0.5,0.05,0.9,0.4,15.0,0.2,0.25,0.0,0.0,1.0,0.1,0.5,0.2,10,0.0,
1776366720152_w1_0000,1,1,2026-04-16 14:12:00,247.1,ok,4.1208791208791204,1.5494505494505495,0.25,15.901098901098901,15.802197802197803,91,0.8880006483391304,yolo26m.pt,960,16,auto,0.01,0.005,0.9,0.0,5.0,True,7.5,0.25,1.5,0.0,0.9,0.6,5.0,0.0,0.8,0.5,0.1,0.5,0.1,0.5,0.2,0,0.2,
1776366967712_w1_0001,1,1,2026-04-16 14:16:07,143.78,ok,4.373626373626373,1.5824175824175823,0.25,15.901098901098901,16.34065934065934,91,0.8814825445073275,yolo26s.pt,960,16,auto,0.0001,0.01,0.937,0.0,1.0,True,5.0,2.0,0.5,0.05,0.5,0.6,5.0,0.2,0.8,0.5,0.0,1.0,0.25,0.0,0.0,10,0.0,
1776367111895_w1_0002,1,1,2026-04-16 14:18:31,134.74,ok,3.956043956043956,1.4945054945054945,0.25,15.901098901098901,15.857142857142858,91,0.8862023959483225,yolo26s.pt,960,16,auto,0.01,0.05,0.937,0.001,3.0,True,2.0,0.5,1.5,0.05,0.3,0.4,5.0,0.0,0.8,0.5,0.0,0.5,0.25,0.2,0.2,10,0.1,
1776366883818_w0_0001,0,0,2026-04-16 14:14:43,446.62,ok,3.912087912087912,1.5604395604395604,0.25,15.901098901098901,16.186813186813186,91,0.9117774046713721,yolo26m.pt,1280,16,SGD,0.003,0.05,0.937,0.001,5.0,True,10.0,2.0,2.5,0.015,0.3,0.6,15.0,0.1,0.5,0.0,0.1,0.5,0.25,0.0,0.0,10,0.0,
1776367247024_w1_0003,1,1,2026-04-16 14:20:47,110.14,ok,8.505494505494505,2.3076923076923075,0.25,15.901098901098901,16.86813186813187,91,0.8068524070771221,yolo26n.pt,960,8,AdamW,0.003,0.005,0.9,0.0005,5.0,True,2.0,1.0,2.5,0.05,0.9,0.2,5.0,0.2,0.5,0.5,0.1,1.0,0.0,0.2,0.2,10,0.1,
1776367357503_w1_0004,1,1,2026-04-16 14:22:37,224.15,ok,4.252747252747253,1.6153846153846154,0.35,15.901098901098901,15.604395604395604,91,0.8783278949952459,yolo26s.pt,1280,8,AdamW,0.003,0.01,0.95,0.0001,1.0,False,2.0,2.0,0.5,0.015,0.3,0.4,15.0,0.0,0.25,0.0,0.1,1.0,0.1,0.2,0.4,0,0.2,
1776367331040_w0_0002,0,0,2026-04-16 14:22:11,424.83,ok,3.131868131868132,1.3736263736263736,0.3,15.901098901098901,15.692307692307692,91,0.9035906137529006,yolo26m.pt,1280,8,AdamW,0.003,0.05,0.937,0.001,1.0,False,7.5,0.5,1.5,0.05,0.7,0.2,0.0,0.2,0.25,0.0,0.0,1.0,0.0,0.5,0.2,5,0.1,
1776367582142_w1_0005,1,1,2026-04-16 14:26:22,240.16,ok,3.4615384615384617,1.4395604395604396,0.3,15.901098901098901,15.626373626373626,91,0.8960794782889209,yolo26m.pt,960,8,auto,0.0001,0.05,0.9,0.0,5.0,False,5.0,0.25,2.5,0.0,0.9,0.4,15.0,0.1,0.25,0.0,0.1,0.0,0.1,0.0,0.2,10,0.0,
1776367822798_w1_0006,1,1,2026-04-16 14:30:22,186.45,ok,6.527472527472527,1.9120879120879122,0.25,15.901098901098901,16.12087912087912,91,0.825387207810697,yolo26n.pt,1280,8,auto,0.003,0.1,0.85,0.0005,3.0,False,10.0,0.5,0.5,0.0,0.9,0.4,15.0,0.0,0.5,0.5,0.1,1.0,0.0,0.0,0.0,5,0.1,
