trial_id,worker_id,gpu,timestamp,duration_sec,status,count_mse,count_mae,best_conf,count_mse_true_mean,count_mse_pred_mean,n_val_images,mAP50,model,imgsz,batch,optimizer,lr0,lrf,momentum,weight_decay,warmup_epochs,cos_lr,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,fliplr,flipud,mosaic,mixup,copy_paste,erasing,close_mosaic,dropout,error
1776382038732_w0_0010,0,0,2026-04-16 18:27:18,309.78,ok,4.247524752475248,1.5148514851485149,0.25,16.425742574257427,16.81188118811881,101,0.8902164607624465,yolo26s.pt,1280,16,auto,0.001,0.01,0.95,0.0,5.0,True,10.0,0.25,1.5,0.015,0.3,0.4,5.0,0.0,0.8,0.0,0.1,0.5,0.0,0.0,0.0,5,0.3,
1776382349000_w0_0011,0,0,2026-04-16 18:32:29,307.29,ok,3.504950495049505,1.386138613861386,0.25,16.425742574257427,16.88118811881188,101,0.8957625351685508,yolo26s.pt,1280,16,auto,0.003,0.01,0.937,0.0,5.0,True,7.5,0.25,1.5,0.0,0.3,0.4,5.0,0.0,0.25,0.0,0.1,0.5,0.25,0.0,0.2,10,0.3,
1776382656878_w0_0012,0,0,2026-04-16 18:37:36,589.13,ok,3.8514851485148514,1.4554455445544554,0.3,16.425742574257427,15.821782178217822,101,0.9046394839488584,yolo26m.pt,1280,16,auto,0.001,0.01,0.95,0.0,5.0,True,7.5,0.25,1.5,0.015,0.3,0.4,5.0,0.1,0.25,0.0,0.1,0.5,0.25,0.0,0.0,5,0.2,
1776383246717_w0_0013,0,0,2026-04-16 18:47:26,308.8,ok,3.623762376237624,1.504950495049505,0.25,16.425742574257427,16.702970297029704,101,0.8979688666171378,yolo26s.pt,1280,16,auto,0.01,0.01,0.937,0.0,5.0,True,7.5,0.5,0.5,0.015,0.3,0.4,5.0,0.1,0.25,0.0,0.1,0.5,0.25,0.0,0.2,5,0.2,
1776383556123_w0_0014,0,0,2026-04-16 18:52:36,587.41,ok,4.366336633663367,1.613861386138614,0.25,16.425742574257427,16.613861386138613,101,0.8967933497367009,yolo26m.pt,1280,16,auto,0.01,0.05,0.937,0.0,1.0,True,7.5,0.5,1.5,0.015,0.3,0.4,5.0,0.0,0.8,0.0,0.1,0.5,0.0,0.0,0.0,10,0.3,
1776384144137_w0_0015,0,0,2026-04-16 19:02:24,588.0,ok,2.792079207920792,1.2673267326732673,0.25,16.425742574257427,16.346534653465348,101,0.908316894321168,yolo26m.pt,1280,16,auto,0.01,0.1,0.95,0.001,1.0,True,10.0,1.0,1.5,0.0,0.5,0.4,0.0,0.0,0.25,0.0,0.1,0.5,0.25,0.0,0.0,5,0.2,
1776384732836_w0_0016,0,0,2026-04-16 19:12:12,588.92,ok,3.8514851485148514,1.5346534653465347,0.25,16.425742574257427,16.752475247524753,101,0.9020859950614896,yolo26m.pt,1280,16,auto,0.001,0.01,0.95,0.0,5.0,True,10.0,0.5,1.5,0.0,0.5,0.4,0.0,0.1,0.8,0.0,0.1,0.5,0.0,0.0,0.2,10,0.0,
1776385322387_w0_0017,0,0,2026-04-16 19:22:02,580.93,ok,3.485148514851485,1.3663366336633664,0.25,16.425742574257427,16.504950495049506,101,0.9050553930757577,yolo26m.pt,1280,16,SGD,0.003,0.05,0.95,0.0,1.0,True,10.0,0.5,0.5,0.015,0.5,0.4,5.0,0.0,0.25,0.0,0.1,0.5,0.0,0.0,0.2,5,0.2,
1776385903987_w0_0018,0,0,2026-04-16 19:31:43,583.5,ok,4.0594059405940595,1.4851485148514851,0.25,16.425742574257427,16.207920792079207,101,0.8971330991541049,yolo26m.pt,1280,16,SGD,0.001,0.01,0.937,0.0,1.0,True,7.5,1.0,1.5,0.015,0.3,0.4,0.0,0.1,0.25,0.0,0.1,0.5,0.25,0.0,0.2,5,0.3,
1776386488081_w0_0019,0,0,2026-04-16 19:41:28,312.79,ok,5.0594059405940595,1.6534653465346534,0.2,16.425742574257427,16.712871287128714,101,0.8796861057157033,yolo26s.pt,1280,16,SGD,0.001,0.1,0.95,0.0,5.0,True,5.0,1.0,0.5,0.015,0.3,0.4,0.0,0.0,0.8,0.0,0.1,0.5,0.25,0.0,0.2,5,0.0,
