epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.082,2.11333,21.222,0.00261,0.01163,0.19888,0.00411,0.00268,1.31172,14.754,0.00211,2.5e-05,2.5e-05,0.075025
2,22.2306,2.01311,17.5463,0.00252,0.02255,0.38547,0.03413,0.02031,1.44192,13.0624,0.00232,5.07018e-05,5.07018e-05,0.0490507
3,33.329,1.88185,14.1202,0.00238,0.51477,0.17989,0.18848,0.10181,1.51999,11.4136,0.00244,7.52099e-05,7.52099e-05,0.0230752
4,44.4887,1.98111,12.3257,0.00239,0.67723,0.28835,0.33052,0.17085,1.56036,10.0305,0.00251,9.48228e-05,9.48228e-05,9.48228e-05
5,55.7208,1.85226,10.5511,0.00224,0.64003,0.41122,0.43248,0.22395,1.57577,8.58062,0.00257,9.09283e-05,9.09283e-05,9.09283e-05
6,66.9086,1.92838,9.32068,0.00224,0.58919,0.55531,0.55231,0.29801,1.56209,6.99522,0.00255,8.60876e-05,8.60876e-05,8.60876e-05
7,78.1068,1.87371,8.53635,0.00228,0.60997,0.57654,0.61958,0.33683,1.56495,6.13812,0.00256,8.04198e-05,8.04198e-05,8.04198e-05
8,89.2566,1.90372,8.09416,0.00223,0.6567,0.5933,0.65671,0.35464,1.57004,5.68857,0.00259,7.40645e-05,7.40645e-05,7.40645e-05
9,100.463,1.87696,7.50851,0.00216,0.70161,0.60223,0.67723,0.36718,1.56444,5.39705,0.00258,6.71783e-05,6.71783e-05,6.71783e-05
10,111.689,2.01464,7.90357,0.00217,0.71926,0.61229,0.69411,0.37709,1.58696,5.07086,0.00262,5.99306e-05,5.99306e-05,5.99306e-05
11,128.766,1.84903,7.97792,0.00246,0.71961,0.61653,0.70286,0.37875,1.58895,4.92292,0.0026,5.25e-05,5.25e-05,5.25e-05
12,139.635,1.82276,7.49048,0.0023,0.73137,0.6067,0.70071,0.37539,1.61544,4.88737,0.00265,4.50694e-05,4.50694e-05,4.50694e-05
13,150.454,1.77995,7.0534,0.00245,0.74738,0.60894,0.70856,0.37821,1.62094,4.81605,0.00264,3.78217e-05,3.78217e-05,3.78217e-05
14,161.271,1.85038,7.18314,0.00255,0.77658,0.59807,0.71616,0.38263,1.63619,4.75003,0.00268,3.09355e-05,3.09355e-05,3.09355e-05
15,172.19,1.77211,6.63571,0.00243,0.7465,0.62843,0.7197,0.38539,1.65015,4.65728,0.0027,2.45802e-05,2.45802e-05,2.45802e-05
16,183.105,1.81058,6.62405,0.00237,0.77464,0.61449,0.71904,0.38377,1.66287,4.6123,0.0027,1.89124e-05,1.89124e-05,1.89124e-05
17,193.979,1.81371,6.53506,0.00234,0.78323,0.61006,0.72321,0.38362,1.66594,4.57567,0.00273,1.40717e-05,1.40717e-05,1.40717e-05
18,204.865,1.77567,6.15797,0.00228,0.78299,0.62083,0.72924,0.38576,1.68044,4.46052,0.00276,1.01772e-05,1.01772e-05,1.01772e-05
19,215.794,1.82177,6.25887,0.00237,0.75874,0.63799,0.73415,0.38667,1.67456,4.46616,0.00275,7.32482e-06,7.32482e-06,7.32482e-06
20,226.714,1.81315,6.4872,0.00227,0.78873,0.61564,0.73353,0.38446,1.68052,4.46818,0.00275,5.5848e-06,5.5848e-06,5.5848e-06
