epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.1151,2.89783,2.12931,0.00249,0.74815,0.65899,0.739,0.43022,2.24722,1.26838,0.00299,0.00044,0.00044,0.00044
2,12.2073,2.67046,1.33002,0.00211,0.84557,0.73029,0.82558,0.49341,2.08516,1.05637,0.00255,0.000855225,0.000855225,0.000855225
3,18.3111,2.5926,1.1855,0.00201,0.81662,0.69039,0.8023,0.5014,1.98942,1.02067,0.00263,0.00122468,0.00122468,0.00122468
4,24.3037,2.5902,1.14438,0.00207,0.84899,0.71942,0.82929,0.50985,2.02411,0.83403,0.00275,0.00154837,0.00154837,0.00154837
5,30.084,2.60127,1.20016,0.00203,0.87256,0.72871,0.82716,0.50661,2.03189,0.81532,0.00254,0.001602,0.001602,0.001602
6,36.0774,2.68325,1.13154,0.00209,0.8452,0.72702,0.83329,0.48853,2.08897,0.82335,0.00267,0.0015025,0.0015025,0.0015025
7,42.0648,2.51228,1.05288,0.00192,0.86137,0.77332,0.86722,0.47482,2.25531,0.78992,0.0031,0.001403,0.001403,0.001403
8,48.0224,2.4931,1.02135,0.00196,0.86959,0.77422,0.86512,0.43209,2.46082,0.80832,0.00335,0.0013035,0.0013035,0.0013035
9,53.9803,2.46294,1.03799,0.00188,0.84784,0.7906,0.86598,0.52674,2.00847,0.79941,0.0025,0.001204,0.001204,0.001204
10,60.0003,2.44556,1.03317,0.00185,0.86007,0.783,0.87468,0.52831,2.01566,0.71472,0.00266,0.0011045,0.0011045,0.0011045
11,66.0461,2.38083,1.03245,0.00185,0.86236,0.80097,0.87507,0.51535,2.07301,0.71415,0.00244,0.001005,0.001005,0.001005
12,72.0322,2.42706,1.01209,0.0018,0.8767,0.79751,0.87568,0.5245,2.03385,0.7743,0.00264,0.0009055,0.0009055,0.0009055
13,77.7106,2.36956,0.97779,0.00186,0.87633,0.79129,0.87766,0.54562,1.95055,0.695,0.00237,0.000806,0.000806,0.000806
14,83.4676,2.39467,0.95581,0.00174,0.88822,0.79625,0.87984,0.52176,2.07535,0.68521,0.00248,0.0007065,0.0007065,0.0007065
15,89.2002,2.31347,0.89223,0.00163,0.87928,0.80535,0.8883,0.53912,1.98615,0.71316,0.00232,0.000607,0.000607,0.000607
16,95.024,2.46083,0.96085,0.00171,0.89213,0.80019,0.88575,0.56662,1.84505,0.6694,0.00218,0.0005075,0.0005075,0.0005075
17,101.068,2.30327,0.90525,0.00172,0.88155,0.80235,0.88315,0.53836,2.01122,0.68963,0.0023,0.000408,0.000408,0.000408
18,107.082,2.27242,0.91821,0.00165,0.87738,0.80601,0.89119,0.56625,1.85535,0.66508,0.00225,0.0003085,0.0003085,0.0003085
19,113.007,2.31271,0.91304,0.00165,0.88156,0.8024,0.88576,0.54258,1.97426,0.67884,0.00231,0.000209,0.000209,0.000209
20,118.686,2.24606,0.87349,0.00164,0.88199,0.79546,0.88657,0.55351,1.92322,0.66756,0.00224,0.0001095,0.0001095,0.0001095
