epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.4723,2.60337,1.46352,0.00238,0.62537,0.46715,0.54402,0.2991,2.05994,0.91622,0.00259,0.00075,0.00075,0.07575
2,22.6137,2.35713,1.03004,0.00219,0.80348,0.66667,0.76786,0.46258,2.01592,0.56231,0.00254,0.00152427,0.00152427,0.0505243
3,33.7543,2.38303,0.76049,0.00198,0.81731,0.70652,0.80184,0.47092,2.10173,0.47798,0.00278,0.00227553,0.00227553,0.0252755
4,44.9524,2.29351,0.68794,0.00198,0.83365,0.72803,0.82647,0.52694,1.90263,0.41572,0.00243,0.00289993,0.00289993,0.00289993
5,56.1338,2.36138,0.65078,0.00194,0.85806,0.74337,0.8409,0.51737,2.00423,0.40396,0.00247,0.00282374,0.00282374,0.00282374
6,67.2786,2.29615,0.59571,0.00197,0.85906,0.74213,0.84131,0.47762,2.21087,0.41074,0.00288,0.00272785,0.00272785,0.00272785
7,78.3226,2.2067,0.56378,0.00186,0.86013,0.75105,0.84669,0.49283,2.14193,0.39893,0.00277,0.00261378,0.00261378,0.00261378
8,89.536,2.2157,0.58859,0.0018,0.85916,0.77221,0.85683,0.55932,1.81317,0.36581,0.00225,0.00248333,0.00248333,0.00248333
9,100.772,2.20676,0.53772,0.00206,0.86122,0.77456,0.85765,0.55092,1.86637,0.36783,0.00233,0.00233855,0.00233855,0.00233855
10,111.86,2.10678,0.49898,0.00173,0.86589,0.77059,0.86301,0.50342,2.14053,0.39155,0.00272,0.00218174,0.00218174,0.00218174
11,123.066,2.22843,0.54202,0.00188,0.84858,0.79381,0.86274,0.50859,2.12516,0.37874,0.00269,0.00201535,0.00201535,0.00201535
12,134.141,2.15804,0.50878,0.00183,0.86338,0.783,0.86831,0.53594,2.0048,0.36863,0.0024,0.00184202,0.00184202,0.00184202
13,145.214,2.15729,0.49279,0.00177,0.85452,0.79626,0.86659,0.53522,2.00235,0.3645,0.00244,0.00166448,0.00166448,0.00166448
14,156.722,2.13999,0.49055,0.00177,0.86487,0.80628,0.87046,0.54466,1.94718,0.35547,0.00238,0.00148552,0.00148552,0.00148552
15,168.114,2.12725,0.48331,0.00172,0.86591,0.8035,0.86697,0.53183,2.0286,0.36575,0.0024,0.00130798,0.00130798,0.00130798
16,179.223,2.21605,0.49181,0.00166,0.85081,0.81254,0.87253,0.5435,1.96589,0.36266,0.00236,0.00113465,0.00113465,0.00113465
17,190.112,2.0936,0.47255,0.00168,0.88132,0.79231,0.87202,0.54786,1.94427,0.35603,0.00233,0.000968265,0.000968265,0.000968265
18,201.215,2.26878,0.52443,0.0018,0.88414,0.78782,0.86852,0.49426,2.22125,0.38315,0.00264,0.000811447,0.000811447,0.000811447
19,212.255,2.04163,0.45746,0.00176,0.87594,0.80014,0.87349,0.54388,1.98371,0.36208,0.00233,0.000666671,0.000666671,0.000666671
20,223.33,2.09312,0.4713,0.0017,0.87282,0.81492,0.87864,0.56068,1.89383,0.35165,0.00227,0.00053622,0.00053622,0.00053622
21,243.372,1.90849,0.39723,0.00171,0.88129,0.79651,0.87493,0.53554,2.03514,0.35702,0.0024,0.000422151,0.000422151,0.000422151
22,253.701,1.82131,0.38565,0.0018,0.88378,0.79325,0.8776,0.55348,1.93297,0.35011,0.00235,0.000326263,0.000326263,0.000326263
23,263.953,1.88195,0.39411,0.00175,0.87572,0.80276,0.87564,0.5431,1.98195,0.35758,0.00235,0.000250069,0.000250069,0.000250069
24,274.503,1.89254,0.39394,0.00171,0.876,0.8048,0.87719,0.56108,1.88846,0.35057,0.00233,0.000194769,0.000194769,0.000194769
25,285.807,1.81638,0.38059,0.00176,0.87879,0.79928,0.87626,0.53538,2.00989,0.35981,0.00237,0.000161237,0.000161237,0.000161237
