epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.4988,1.93868,6.52997,0.00059,0.76523,0.72755,0.79289,0.45516,1.97676,2.02676,0.00079,0.0015,0.0015,0.0515
2,60.6539,1.81555,2.03688,0.00055,0.84495,0.74893,0.84123,0.50409,1.96255,1.55149,0.00077,0.00298829,0.00298829,0.00298829
3,81.7843,1.77562,1.63813,0.00056,0.85271,0.80611,0.87576,0.54887,1.85024,1.35721,0.00073,0.00295335,0.00295335,0.00295335
4,103.103,1.824,1.54204,0.00058,0.8734,0.81193,0.87906,0.51734,2.05664,1.40075,0.00088,0.00289572,0.00289572,0.00289572
5,124.324,1.77751,1.47197,0.00055,0.8609,0.82076,0.88009,0.52306,2.00207,1.3695,0.00083,0.00281632,0.00281632,0.00281632
6,145.554,1.74798,1.48122,0.00054,0.87865,0.79988,0.886,0.54,1.98987,1.36511,0.00084,0.00271639,0.00271639,0.00271639
7,166.802,1.69697,1.36668,0.00054,0.88974,0.81233,0.89355,0.56972,1.85672,1.30161,0.00073,0.00259752,0.00259752,0.00259752
8,188.045,1.71411,1.35846,0.00054,0.87094,0.83363,0.89659,0.57668,1.82851,1.26662,0.00072,0.00246157,0.00246157,0.00246157
9,209.285,1.67843,1.37029,0.00051,0.88338,0.8264,0.8991,0.59901,1.70631,1.19051,0.0007,0.0023107,0.0023107,0.0023107
10,230.42,1.66668,1.31579,0.00049,0.88288,0.81796,0.89688,0.52201,2.10335,1.29142,0.00084,0.00214728,0.00214728,0.00214728
11,251.54,1.63685,1.25611,0.00049,0.87753,0.83357,0.89722,0.54149,2.02015,1.2892,0.0008,0.00197389,0.00197389,0.00197389
12,272.689,1.62773,1.26109,0.00048,0.88509,0.82646,0.90334,0.5556,1.94662,1.26583,0.00078,0.00179326,0.00179326,0.00179326
13,293.779,1.62124,1.22898,0.0005,0.89416,0.8252,0.9027,0.57528,1.83498,1.23647,0.00073,0.00160824,0.00160824,0.00160824
14,314.909,1.58244,1.20466,0.00047,0.89566,0.8252,0.89995,0.60105,1.72034,1.19655,0.00067,0.00142176,0.00142176,0.00142176
15,336.153,1.544,1.18235,0.00046,0.89266,0.8321,0.90089,0.58591,1.81307,1.23114,0.00071,0.00123674,0.00123674,0.00123674
16,365.928,1.53411,1.17553,0.00046,0.87403,0.84064,0.89967,0.56328,1.91534,1.26491,0.0008,0.00105611,0.00105611,0.00105611
17,386.854,1.50175,1.15758,0.00045,0.88264,0.83413,0.90073,0.6008,1.71991,1.22128,0.00069,0.000882718,0.000882718,0.000882718
18,407.828,1.49741,1.13042,0.00044,0.88534,0.827,0.9009,0.61568,1.6487,1.18979,0.00066,0.000719297,0.000719297,0.000719297
19,429.024,1.47494,1.10713,0.00044,0.87435,0.84311,0.90314,0.59833,1.74721,1.21477,0.00068,0.000568425,0.000568425,0.000568425
20,450.072,1.45722,1.10593,0.00044,0.89806,0.82308,0.90328,0.60507,1.70248,1.17273,0.00066,0.000432482,0.000432482,0.000432482
21,471.143,1.45627,1.09582,0.00043,0.89438,0.83363,0.90441,0.60364,1.72698,1.18047,0.00068,0.00031361,0.00031361,0.00031361
22,492.067,1.44269,1.10496,0.00043,0.89644,0.83424,0.9045,0.60636,1.70696,1.17745,0.00067,0.000213685,0.000213685,0.000213685
23,513.075,1.43612,1.10438,0.00042,0.89457,0.83363,0.90146,0.60639,1.6957,1.19506,0.00066,0.000134282,0.000134282,0.000134282
24,533.945,1.45978,1.10936,0.00043,0.89025,0.83606,0.90221,0.59905,1.73936,1.18748,0.00067,7.6654e-05,7.6654e-05,7.6654e-05
25,554.894,1.44657,1.10689,0.00042,0.88547,0.84813,0.90147,0.61024,1.68255,1.1772,0.00065,4.17097e-05,4.17097e-05,4.17097e-05
