epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.3405,0.54705,7.92188,0.00104,0.71537,0.5501,0.61985,0.14013,0.77979,6.15426,0.0017,0.00132,0.00132,0.05732
2,26.0343,0.51517,5.53805,0.00099,0.78651,0.66206,0.72531,0.2521,0.65248,5.96662,0.00151,0.00253784,0.00253784,0.0135378
3,35.688,0.5467,5.43255,0.00107,0.40737,0.50657,0.41058,0.11489,0.69338,6.56826,0.00169,0.002703,0.002703,0.002703
4,45.3757,0.55382,5.25016,0.00108,0.75918,0.53376,0.65294,0.2816,0.57168,6.22287,0.00139,0.0025545,0.0025545,0.0025545
5,55.0177,0.52665,4.96644,0.00099,0.74517,0.70491,0.73655,0.34001,0.51352,4.26217,0.00123,0.002406,0.002406,0.002406
6,64.7659,0.50624,4.57451,0.00094,0.83968,0.71667,0.81323,0.31294,0.58299,4.00769,0.00127,0.0022575,0.0022575,0.0022575
7,74.3565,0.48771,4.33244,0.00089,0.85368,0.72218,0.83505,0.3437,0.57401,3.88171,0.00137,0.002109,0.002109,0.002109
8,84.0525,0.52331,4.31866,0.00105,0.8316,0.71596,0.7819,0.25143,0.66128,4.12462,0.00165,0.0019605,0.0019605,0.0019605
9,93.6729,0.50036,4.21139,0.00094,0.80317,0.7501,0.82159,0.30268,0.61726,3.92522,0.00136,0.001812,0.001812,0.001812
10,103.401,0.47181,3.97649,0.00087,0.83976,0.77869,0.86024,0.42139,0.4969,3.55925,0.00113,0.0016635,0.0016635,0.0016635
11,113.085,0.46521,3.85898,0.00084,0.8377,0.76331,0.85079,0.35169,0.57355,3.53469,0.00125,0.001515,0.001515,0.001515
12,122.717,0.46361,3.69504,0.00085,0.85122,0.80788,0.87477,0.38337,0.54983,3.34211,0.0012,0.0013665,0.0013665,0.0013665
13,132.696,0.45382,3.69554,0.0008,0.83832,0.80442,0.86783,0.37376,0.55266,3.39571,0.00121,0.001218,0.001218,0.001218
14,142.264,0.44997,3.69719,0.00083,0.86294,0.80028,0.86012,0.38774,0.5406,3.18871,0.00123,0.0010695,0.0010695,0.0010695
15,151.8,0.43437,3.45999,0.00076,0.86425,0.80719,0.87158,0.42253,0.50913,3.15578,0.00106,0.000921,0.000921,0.000921
16,161.468,0.43221,3.57906,0.00077,0.85735,0.81064,0.87273,0.36516,0.57169,3.60677,0.00122,0.0007725,0.0007725,0.0007725
17,171.064,0.43659,3.49815,0.00076,0.85949,0.81617,0.87476,0.40859,0.52806,3.179,0.00105,0.000624,0.000624,0.000624
18,180.785,0.41839,3.47315,0.00073,0.86939,0.81423,0.88165,0.43655,0.50296,3.04867,0.00104,0.0004755,0.0004755,0.0004755
19,190.466,0.41684,3.36447,0.00072,0.87323,0.80442,0.87751,0.44141,0.493,3.22554,0.00101,0.000327,0.000327,0.000327
20,200.167,0.4176,3.34659,0.00074,0.86883,0.8065,0.87967,0.43237,0.49644,3.25985,0.00106,0.0001785,0.0001785,0.0001785
