epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.0292,3.04601,11.3531,0.00568,0.28971,0.15866,0.1081,0.03335,4.2078,9.42631,0.01313,1.2e-05,1.2e-05,0.088012
2,17.2473,2.78095,6.25208,0.00554,0.38602,0.06145,0.10484,0.03445,4.27243,11.742,0.01367,2.48476e-05,2.48476e-05,0.0750248
3,20.5092,2.51601,5.03841,0.00469,0.47547,0.22687,0.27203,0.11038,3.3113,9.66447,0.00949,3.70794e-05,3.70794e-05,0.0620371
4,23.7586,2.28951,4.45757,0.00412,0.67113,0.50615,0.59013,0.28469,2.73765,5.93939,0.00656,4.82485e-05,4.82485e-05,0.0490482
5,27.114,2.23036,4.09972,0.00404,0.74926,0.55978,0.66309,0.31052,2.73327,5.36817,0.0062,5.79497e-05,5.79497e-05,0.0360579
6,30.3509,2.187,3.91469,0.00387,0.78258,0.62737,0.72017,0.33046,2.73504,4.69443,0.00597,6.58364e-05,6.58364e-05,0.0230658
7,33.5845,2.13227,3.73077,0.00378,0.80906,0.64022,0.74643,0.35932,2.61643,4.2746,0.00556,7.16358e-05,7.16358e-05,0.0100716
8,36.8095,2.13998,3.63913,0.00374,0.78755,0.69609,0.77074,0.38066,2.52754,4.03318,0.00526,7.29725e-05,7.29725e-05,7.29725e-05
9,40.0201,2.09427,3.60308,0.00371,0.81165,0.70503,0.78073,0.37843,2.55179,4.05203,0.00526,6.57963e-05,6.57963e-05,6.57963e-05
10,43.2791,2.07084,3.57571,0.0036,0.82551,0.69775,0.78067,0.39305,2.46724,4.05767,0.00508,5.82435e-05,5.82435e-05,5.82435e-05
11,46.4958,2.03734,3.51287,0.00352,0.83114,0.70056,0.78838,0.39891,2.448,4.03988,0.00502,5.05e-05,5.05e-05,5.05e-05
12,49.7327,2.0144,3.47908,0.00349,0.84523,0.70783,0.80356,0.39746,2.50214,4.01469,0.00508,4.27565e-05,4.27565e-05,4.27565e-05
13,52.8899,2.039,3.4469,0.0035,0.85005,0.70726,0.8024,0.40807,2.43512,3.89734,0.00494,3.52037e-05,3.52037e-05,3.52037e-05
14,56.2199,1.97609,3.40652,0.00341,0.8504,0.70499,0.80263,0.41198,2.41806,3.81587,0.00489,2.80275e-05,2.80275e-05,2.80275e-05
15,59.4491,1.98532,3.37587,0.00342,0.85373,0.70056,0.80404,0.41368,2.41976,3.75152,0.00488,2.14046e-05,2.14046e-05,2.14046e-05
16,62.6769,2.01109,3.3524,0.00345,0.86065,0.69832,0.80613,0.41336,2.4285,3.67997,0.00491,1.54982e-05,1.54982e-05,1.54982e-05
17,65.8418,2.01235,3.47831,0.00351,0.85374,0.70168,0.80681,0.41158,2.43623,3.66816,0.00491,1.04537e-05,1.04537e-05,1.04537e-05
18,69.1035,1.96075,3.42708,0.00345,0.85163,0.70391,0.80661,0.41349,2.42534,3.6839,0.0049,6.39518e-06,6.39518e-06,6.39518e-06
19,72.2715,1.9527,3.29687,0.00334,0.85904,0.70137,0.80775,0.41539,2.41885,3.66517,0.00489,3.4227e-06,3.4227e-06,3.4227e-06
20,75.5048,2.0039,3.39784,0.00352,0.86067,0.69944,0.80745,0.41773,2.40541,3.66562,0.00486,1.60943e-06,1.60943e-06,1.60943e-06
