epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.9191,1.41693,2.77257,0.00056,0.8083,0.73197,0.81465,0.50316,1.41368,1.37799,0.0008,0.001,0.001,0.001
2,60.1339,1.56086,1.09748,0.00067,0.81732,0.78963,0.83528,0.42345,1.81059,0.90126,0.00115,0.00199251,0.00199251,0.00199251
3,81.3948,1.61727,0.96214,0.00075,0.84369,0.77939,0.84885,0.50769,1.54495,0.78164,0.001,0.00197015,0.00197015,0.00197015
4,102.863,1.56027,0.89498,0.00066,0.84163,0.73357,0.81373,0.50971,1.44592,0.91164,0.00084,0.00193329,0.00193329,0.00193329
5,124.496,1.42536,0.84866,0.00059,0.86221,0.80711,0.87277,0.57832,1.30774,0.76609,0.00078,0.00188249,0.00188249,0.00188249
6,146,1.41913,0.78652,0.00059,0.85641,0.79812,0.87624,0.58297,1.31896,0.69448,0.00078,0.00181857,0.00181857,0.00181857
7,167.401,1.33969,0.68013,0.00055,0.87298,0.81133,0.87316,0.57011,1.39243,0.68394,0.00083,0.00174252,0.00174252,0.00174252
8,188.738,1.28774,0.66564,0.00054,0.86522,0.8258,0.88448,0.59411,1.31104,0.65537,0.00075,0.00165555,0.00165555,0.00165555
9,210.11,1.28673,0.66144,0.0005,0.88314,0.80651,0.88538,0.59112,1.31118,0.69736,0.00073,0.00155904,0.00155904,0.00155904
10,231.397,1.299,0.6475,0.0005,0.90028,0.81435,0.89486,0.60814,1.25062,0.66957,0.0007,0.00145449,0.00145449,0.00145449
11,252.808,1.21764,0.61394,0.00047,0.90178,0.81073,0.89473,0.60571,1.29336,0.65373,0.00075,0.00134357,0.00134357,0.00134357
12,274.199,1.21378,0.62186,0.00047,0.90458,0.79506,0.89327,0.61466,1.24031,0.65279,0.00073,0.00122801,0.00122801,0.00122801
13,295.577,1.21035,0.60684,0.00049,0.89181,0.81796,0.89485,0.61845,1.23077,0.61794,0.00069,0.00110965,0.00110965,0.00110965
14,316.874,1.13807,0.57376,0.00043,0.9051,0.8053,0.89588,0.61707,1.23763,0.59954,0.00071,0.000990349,0.000990349,0.000990349
15,338.197,1.10288,0.54153,0.00043,0.90405,0.81211,0.89659,0.63235,1.18661,0.59992,0.00066,0.000871988,0.000871988,0.000871988
16,359.564,1.09637,0.54329,0.00042,0.87769,0.83605,0.89772,0.62409,1.2166,0.60813,0.00067,0.000756434,0.000756434,0.000756434
17,380.938,1.07156,0.53236,0.00039,0.88951,0.827,0.90047,0.63798,1.15939,0.60026,0.00064,0.00064551,0.00064551,0.00064551
18,402.38,1.06742,0.501,0.0004,0.90663,0.83484,0.90393,0.63899,1.15574,0.58978,0.00062,0.000540965,0.000540965,0.000540965
19,423.863,1.03177,0.50377,0.00037,0.89918,0.82881,0.90611,0.64155,1.16947,0.60692,0.00063,0.000444447,0.000444447,0.000444447
20,445.303,1.03086,0.51156,0.00038,0.88872,0.83605,0.90503,0.64388,1.15179,0.59012,0.00062,0.00035748,0.00035748,0.00035748
21,475.31,0.97714,0.46922,0.00036,0.89725,0.82098,0.90162,0.64083,1.15747,0.60603,0.00062,0.000281434,0.000281434,0.000281434
22,496.458,0.97199,0.47448,0.00037,0.89743,0.83424,0.90363,0.64076,1.15022,0.61131,0.00062,0.000217509,0.000217509,0.000217509
23,517.609,0.97836,0.46599,0.00036,0.89177,0.83439,0.90455,0.64456,1.13826,0.6093,0.00061,0.000166712,0.000166712,0.000166712
24,538.946,0.96818,0.45821,0.00036,0.89787,0.83062,0.9038,0.64513,1.13886,0.5995,0.00061,0.000129846,0.000129846,0.000129846
25,560.27,0.94707,0.45349,0.00035,0.89575,0.83387,0.9042,0.64813,1.1278,0.59359,0.0006,0.000107491,0.000107491,0.000107491
