epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.2802,1.14817,2.7832,0.00235,0.64662,0.56471,0.61148,0.32677,1.06158,1.63347,0.00267,0.00025,0.00025,0.07525
2,26.399,1.02617,1.725,0.00206,0.82639,0.68475,0.79234,0.48794,0.98279,0.96662,0.00247,0.000508009,0.000508009,0.049508
3,37.4099,1.01809,1.22767,0.00195,0.87487,0.70524,0.82736,0.48236,1.05854,0.86265,0.00265,0.000758025,0.000758025,0.023758
4,52.3691,0.99772,1.08952,0.00199,0.87024,0.74385,0.84591,0.51699,0.99508,0.80446,0.00246,0.000965239,0.000965239,0.000965239
5,71.5757,0.99111,1.04843,0.00191,0.85679,0.7607,0.8521,0.51778,1.0104,0.77523,0.00246,0.000938772,0.000938772,0.000938772
6,84.3896,0.96467,0.96528,0.00186,0.85209,0.76974,0.85368,0.50726,1.04286,0.78349,0.00256,0.000905463,0.000905463,0.000905463
7,100.049,0.94861,0.93854,0.00184,0.85792,0.78421,0.86125,0.52931,0.99104,0.75154,0.00247,0.000865839,0.000865839,0.000865839
