epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.1395,0.34812,8.98187,0.00052,0.82674,0.44847,0.64543,0.39429,0.33727,3.71304,0.00069,0.00044,0.00044,0.05644
2,38.0444,0.33599,2.91751,0.00048,0.81013,0.73393,0.82415,0.52594,0.3398,1.65337,0.0007,0.000884795,0.000884795,0.0118848
3,55.9732,0.3317,1.77781,0.00048,0.82392,0.79267,0.85653,0.5474,0.33601,1.40122,0.00068,0.000976752,0.000976752,0.000976752
4,73.9114,0.3286,1.49986,0.00048,0.87151,0.80719,0.87595,0.5754,0.33181,1.25589,0.00068,0.000948228,0.000948228,0.000948228
5,91.8241,0.32426,1.33508,0.00047,0.86323,0.83552,0.89046,0.59685,0.32535,1.2055,0.00067,0.000909283,0.000909283,0.000909283
6,109.742,0.31675,1.29015,0.00046,0.86656,0.82446,0.8917,0.60341,0.32149,1.20893,0.00065,0.000860876,0.000860876,0.000860876
7,127.686,0.31316,1.26675,0.00045,0.86104,0.82648,0.89281,0.61704,0.31188,1.20766,0.00063,0.000804198,0.000804198,0.000804198
8,145.613,0.30699,1.24411,0.00044,0.87247,0.82266,0.89702,0.61963,0.30853,1.17264,0.00062,0.000740645,0.000740645,0.000740645
9,163.569,0.30233,1.2119,0.00044,0.87588,0.82999,0.90161,0.62551,0.30566,1.17928,0.00061,0.000671783,0.000671783,0.000671783
10,181.531,0.29843,1.17799,0.00042,0.86402,0.84381,0.90548,0.62663,0.30314,1.16954,0.00061,0.000599306,0.000599306,0.000599306
11,199.504,0.29503,1.1747,0.00042,0.90546,0.81202,0.90996,0.63068,0.30023,1.16448,0.00061,0.000525,0.000525,0.000525
12,217.462,0.29599,1.13348,0.00042,0.88598,0.83414,0.90904,0.63365,0.29707,1.18774,0.0006,0.000450694,0.000450694,0.000450694
13,235.433,0.29148,1.12253,0.00042,0.88502,0.83516,0.90842,0.63481,0.2968,1.16644,0.0006,0.000378217,0.000378217,0.000378217
14,253.416,0.29259,1.11549,0.00041,0.89116,0.83207,0.90958,0.63726,0.29471,1.17541,0.00059,0.000309355,0.000309355,0.000309355
15,271.41,0.29353,1.11191,0.00041,0.88276,0.84105,0.90872,0.64014,0.29373,1.16041,0.00059,0.000245802,0.000245802,0.000245802
16,297.606,0.29059,1.11581,0.00041,0.88921,0.8293,0.90916,0.64212,0.29377,1.16613,0.00059,0.000189124,0.000189124,0.000189124
17,315.588,0.28921,1.10092,0.00041,0.89458,0.83279,0.91155,0.6454,0.29312,1.14132,0.00059,0.000140717,0.000140717,0.000140717
18,333.54,0.28764,1.10136,0.00041,0.8951,0.83149,0.91013,0.64421,0.29339,1.14086,0.00059,0.000101772,0.000101772,0.000101772
19,351.448,0.28971,1.10525,0.00041,0.90055,0.82602,0.91141,0.64408,0.29394,1.13846,0.00059,7.32482e-05,7.32482e-05,7.32482e-05
20,369.356,0.28894,1.09912,0.00041,0.89751,0.82906,0.91047,0.6435,0.2939,1.1499,0.00059,5.5848e-05,5.5848e-05,5.5848e-05
