epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.87664,2.42867,2.26063,0.00702,0.00026,0.00447,0,0,2.72275,1.90792,0.00885,0.00018,0.00018,0.09418
2,8.58524,2.20636,1.6999,0.00589,0,0,0,0,2.90467,1.70144,0.0117,0.000371475,0.000371475,0.0873715
3,10.0937,2.07024,1.09535,0.00545,0,0,0,0,2.251,1.9194,0.00755,0.000543,0.000543,0.080543
4,11.588,1.87465,0.86273,0.0045,0,0,0,0,2.11952,2.1046,0.00679,0.000694575,0.000694575,0.0736946
5,13.0874,1.82052,0.77293,0.00449,0,0,0,0,2.24706,2.11661,0.00641,0.0008262,0.0008262,0.0668262
6,14.6824,1.78997,0.73352,0.00436,1,0.0067,0.005,0.004,1.99135,2.08662,0.0061,0.000937875,0.000937875,0.0599379
7,16.183,1.79072,0.68465,0.00427,0.79167,0.02123,0.02104,0.0103,1.91145,2.12406,0.00608,0.0010296,0.0010296,0.0530296
8,17.6656,1.83424,0.70362,0.00468,0.46081,0.48603,0.34451,0.17652,1.9329,1.78318,0.00565,0.00110137,0.00110137,0.0461014
9,19.1275,1.7548,0.65484,0.00429,0.35115,0.56536,0.36475,0.1612,2.13729,1.70034,0.00643,0.0011532,0.0011532,0.0391532
10,20.6972,1.86564,0.64581,0.0046,0.28565,0.7095,0.46744,0.24213,1.91163,1.46508,0.00566,0.00118508,0.00118508,0.0321851
11,22.1595,1.7769,0.63664,0.00447,0.29671,0.71508,0.48902,0.23023,2.00285,1.46485,0.00641,0.001197,0.001197,0.025197
12,23.6222,1.78235,0.60745,0.00446,0.15991,0.82011,0.55199,0.27758,1.90686,1.19344,0.00544,0.00118897,0.00118897,0.018189
13,25.0777,1.70278,0.59898,0.00398,0.40743,0.60223,0.49224,0.26213,2.06238,1.11756,0.00593,0.001161,0.001161,0.011161
14,26.5476,1.69163,0.58175,0.00393,0.78331,0.45238,0.62049,0.30824,1.85672,0.85926,0.00524,0.00111308,0.00111308,0.00411307
15,28.1164,1.69413,0.56192,0.00394,0.75431,0.47338,0.627,0.34891,1.76745,0.8093,0.00506,0.001005,0.001005,0.001005
16,33.9556,1.59806,0.53888,0.0038,0.73189,0.5095,0.63688,0.34824,1.77963,0.7664,0.00528,0.0008625,0.0008625,0.0008625
17,35.4243,1.58028,0.53933,0.00364,0.72155,0.57327,0.66274,0.36702,1.74107,0.66722,0.00485,0.00072,0.00072,0.00072
18,36.9306,1.56648,0.51613,0.00366,0.68567,0.58771,0.65921,0.37518,1.71046,0.61294,0.00483,0.0005775,0.0005775,0.0005775
19,38.3857,1.58809,0.52082,0.00362,0.7044,0.59665,0.66883,0.37928,1.7221,0.58909,0.00479,0.000435,0.000435,0.000435
20,39.9698,1.49702,0.5067,0.00358,0.71616,0.592,0.67401,0.36155,1.8541,0.5742,0.00496,0.0002925,0.0002925,0.0002925
