epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.237,2.52776,2.45039,0.00216,0.83583,0.69662,0.78501,0.48039,2.04794,1.07582,0.00261,0.0005,0.0005,0.0005
2,22.6472,2.29959,1.28431,0.00195,0.86689,0.75765,0.84615,0.52262,1.947,0.85062,0.00272,0.00101638,0.00101638,0.00101638
3,33.9056,2.24607,1.06001,0.00195,0.86614,0.75045,0.83948,0.45797,2.32115,0.85859,0.00282,0.00151823,0.00151823,0.00151823
4,45.1275,2.31584,1.06906,0.00211,0.8304,0.78803,0.84517,0.48998,2.12583,0.96228,0.00287,0.0019368,0.0019368,0.0019368
5,56.522,2.29576,0.99224,0.00184,0.87614,0.7675,0.85272,0.49817,2.1363,0.77693,0.00284,0.00188868,0.00188868,0.00188868
6,67.9089,2.26601,1.01123,0.00187,0.85987,0.76562,0.85402,0.52777,1.99937,0.78049,0.0027,0.00182812,0.00182812,0.00182812
7,79.1947,2.21963,0.96232,0.00181,0.87255,0.78408,0.86559,0.52818,2.02098,0.76083,0.00254,0.00175607,0.00175607,0.00175607
8,90.4461,2.12446,0.92638,0.00186,0.86129,0.76354,0.85419,0.50019,2.0893,1.18834,0.0026,0.00167368,0.00167368,0.00167368
9,101.77,2.16722,0.90116,0.00173,0.89072,0.79589,0.88196,0.52477,2.06297,0.7936,0.00258,0.00158224,0.00158224,0.00158224
10,113.164,2.13034,0.86809,0.00175,0.85104,0.81254,0.87953,0.53065,2.02379,0.78439,0.00276,0.0014832,0.0014832,0.0014832
11,124.474,2.23284,0.87724,0.00169,0.85741,0.80463,0.87583,0.53467,1.96419,0.73349,0.00258,0.00137812,0.00137812,0.00137812
12,135.77,2.12631,0.85728,0.0017,0.8776,0.8047,0.88151,0.52908,2.02005,0.73418,0.00247,0.00126864,0.00126864,0.00126864
13,147.05,2.0443,0.8189,0.00166,0.90399,0.78317,0.88001,0.48767,2.27044,0.79224,0.00288,0.00115651,0.00115651,0.00115651
14,158.286,2.12602,0.85246,0.0017,0.86203,0.80596,0.87843,0.56093,1.88051,0.73889,0.00222,0.00104349,0.00104349,0.00104349
15,169.52,2.08174,0.8061,0.00162,0.864,0.83477,0.88852,0.53905,1.99357,0.70471,0.00244,0.000931357,0.000931357,0.000931357
16,189.934,1.8627,0.72135,0.00178,0.88756,0.80229,0.88273,0.5553,1.95608,0.69857,0.00256,0.000821885,0.000821885,0.000821885
17,200.569,1.85313,0.7349,0.00172,0.87286,0.81977,0.88557,0.56098,1.89299,0.68598,0.00231,0.000716799,0.000716799,0.000716799
18,211.283,1.8185,0.70409,0.00167,0.86809,0.81555,0.88489,0.58405,1.77426,0.66999,0.00232,0.000617756,0.000617756,0.000617756
19,222.09,1.76382,0.66193,0.00157,0.90048,0.80711,0.8892,0.57243,1.84207,0.6673,0.00225,0.000526318,0.000526318,0.000526318
20,232.87,1.75443,0.67088,0.00165,0.88294,0.81386,0.88698,0.58586,1.75897,0.67828,0.00221,0.000443928,0.000443928,0.000443928
21,243.594,1.7828,0.67839,0.00169,0.89264,0.81695,0.89504,0.58157,1.81071,0.66707,0.00228,0.000371885,0.000371885,0.000371885
22,254.316,1.76064,0.70416,0.00156,0.89023,0.82125,0.89375,0.60148,1.70651,0.63791,0.00214,0.000311324,0.000311324,0.000311324
23,265.125,1.91268,0.73323,0.00159,0.88286,0.82682,0.88788,0.60902,1.64772,0.62508,0.00211,0.000263201,0.000263201,0.000263201
24,275.93,1.74586,0.67622,0.00148,0.88449,0.83083,0.89138,0.58369,1.76899,0.66885,0.00214,0.000228275,0.000228275,0.000228275
25,286.632,1.70492,0.65661,0.00152,0.87796,0.8326,0.89473,0.60994,1.65543,0.6347,0.00206,0.000207097,0.000207097,0.000207097
