epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.78134,1.28079,8.44387,0.00089,0.00346,0.05922,0.00309,0.00133,1.19927,7.55872,0.00107,0.00024,0.00024,0.00024
2,4.96317,1.23012,6.02469,0.00081,0.00516,0.08827,0.01184,0.00226,1.23024,7.15296,0.00109,0.00049723,0.00049723,0.00049723
3,7.16472,1.13154,5.36162,0.00075,0.00059,0.01006,2e-05,0,1.12203,6.91403,0.00099,0.000743261,0.000743261,0.000743261
4,9.31574,1.11787,5.11165,0.00074,0.01471,0.2514,0.12079,0.06294,1.22019,6.31866,0.0011,0.000969972,0.000969972,0.000969972
5,11.5706,1.12553,4.68551,0.00073,0.03163,0.54078,0.24865,0.08463,1.42862,6.11406,0.00128,0.00116999,0.00116999,0.00116999
6,13.7267,1.10585,4.38622,0.00071,0.56446,0.45363,0.49198,0.23739,1.11599,4.84894,0.00098,0.00133702,0.00133702,0.00133702
7,15.8793,1.0716,4.05435,0.00067,0.62583,0.45251,0.51303,0.24236,1.20055,4.51853,0.00106,0.00146611,0.00146611,0.00146611
8,18.0515,1.10454,3.82078,0.00071,0.55595,0.56201,0.56057,0.28154,1.08711,3.8639,0.00095,0.00150859,0.00150859,0.00150859
9,20.3019,1.1274,3.55738,0.00071,0.595,0.57877,0.60842,0.30712,1.18012,3.39287,0.00104,0.00137812,0.00137812,0.00137812
10,22.4231,1.09113,3.32927,0.0007,0.66241,0.61676,0.66435,0.35029,1.13794,3.04187,0.00098,0.00124079,0.00124079,0.00124079
11,29.3855,1.06632,3.44527,0.00069,0.67105,0.60335,0.66324,0.34537,1.19512,2.85549,0.00104,0.0011,0.0011,0.0011
12,31.4638,1.0336,3.26129,0.00066,0.68962,0.64022,0.70039,0.3842,1.09494,2.51854,0.00091,0.000959209,0.000959209,0.000959209
13,33.5501,1.05676,3.16562,0.00068,0.69037,0.64022,0.70442,0.38091,1.12667,2.50204,0.00099,0.000821885,0.000821885,0.000821885
14,35.7341,1.05615,2.99217,0.00069,0.68414,0.65475,0.71745,0.38602,1.14434,2.522,0.00096,0.000691409,0.000691409,0.000691409
15,37.8183,1.08713,2.99717,0.00073,0.68761,0.64022,0.70998,0.4087,1.09245,2.37287,0.00094,0.000570993,0.000570993,0.000570993
16,39.9115,1.0577,2.93532,0.00065,0.67937,0.61788,0.69082,0.37303,1.15837,2.46367,0.00103,0.000463604,0.000463604,0.000463604
17,41.9953,1.03099,2.81128,0.00066,0.69856,0.66369,0.72291,0.39256,1.1132,2.39001,0.00094,0.000371885,0.000371885,0.000371885
18,44.1615,1.02404,2.781,0.00065,0.70687,0.66927,0.72242,0.39021,1.12571,2.36575,0.00093,0.000298094,0.000298094,0.000298094
19,46.2173,1.00145,2.79551,0.00064,0.72185,0.66982,0.73145,0.40827,1.0911,2.34781,0.0009,0.000244049,0.000244049,0.000244049
20,48.3006,0.99362,2.70465,0.00062,0.70604,0.68715,0.74094,0.42767,1.06343,2.25946,0.00088,0.00021108,0.00021108,0.00021108
