epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.6666,1.70237,6.79063,0.0018,0.69089,0.66426,0.729,0.42034,1.44674,2.31626,0.00237,0.000588235,0.000588235,0.0809804
2,61.2174,1.60071,2.48784,0.00163,0.80207,0.74013,0.82579,0.50421,1.45311,1.66628,0.0023,0.00118378,0.00118378,0.0615759
3,82.7609,1.51525,1.9135,0.0016,0.83281,0.75363,0.84048,0.4881,1.57376,1.6002,0.00245,0.00176155,0.00176155,0.0421537
4,104.17,1.50322,1.8524,0.00155,0.82665,0.75599,0.84929,0.5186,1.43412,1.53481,0.00222,0.00230857,0.00230857,0.0227007
5,125.777,1.53014,1.80081,0.00142,0.81253,0.76612,0.85127,0.51944,1.49742,1.56598,0.00239,0.00281266,0.00281266,0.00320482
6,147.211,1.49837,1.81507,0.00148,0.80913,0.79024,0.85609,0.52955,1.41677,1.47426,0.00219,0.00272785,0.00272785,0.00272785
7,168.73,1.45226,1.67574,0.00145,0.81187,0.80711,0.86591,0.50399,1.57141,1.55509,0.00241,0.00261378,0.00261378,0.00261378
8,189.989,1.45372,1.71613,0.0015,0.82282,0.81179,0.87157,0.53057,1.48425,1.42981,0.00235,0.00248333,0.00248333,0.00248333
9,211.413,1.46891,1.70597,0.00143,0.86356,0.79807,0.87943,0.56926,1.3402,1.34058,0.00209,0.00233855,0.00233855,0.00233855
10,232.757,1.41803,1.56367,0.00141,0.8358,0.81495,0.87994,0.53229,1.48823,1.43488,0.00229,0.00218174,0.00218174,0.00218174
11,254.046,1.41916,1.49855,0.0014,0.87376,0.79807,0.88608,0.55686,1.41998,1.34344,0.00218,0.00201535,0.00201535,0.00201535
12,275.386,1.47649,1.55959,0.00136,0.84493,0.81615,0.88443,0.5627,1.35537,1.33701,0.00213,0.00184202,0.00184202,0.00184202
13,296.707,1.39654,1.45775,0.00141,0.85453,0.82037,0.88435,0.55971,1.36325,1.33846,0.0021,0.00166448,0.00166448,0.00166448
14,318.017,1.41109,1.50781,0.00134,0.86461,0.82037,0.89119,0.58296,1.32794,1.30284,0.00205,0.00148552,0.00148552,0.00148552
15,339.313,1.33593,1.36662,0.00137,0.8631,0.82463,0.89017,0.53432,1.50151,1.34456,0.0023,0.00130798,0.00130798,0.00130798
16,360.723,1.35197,1.41759,0.00135,0.87602,0.81495,0.89459,0.55204,1.45747,1.33924,0.00221,0.00113465,0.00113465,0.00113465
17,382.262,1.40207,1.46518,0.00132,0.87005,0.81928,0.89253,0.54834,1.46716,1.31415,0.00223,0.000968265,0.000968265,0.000968265
18,403.603,1.39242,1.38585,0.00132,0.87994,0.82037,0.89175,0.55994,1.43157,1.27295,0.00218,0.000811447,0.000811447,0.000811447
19,424.97,1.36251,1.39073,0.00126,0.87275,0.8264,0.89647,0.57129,1.39926,1.27288,0.00216,0.000666671,0.000666671,0.000666671
20,446.313,1.31807,1.37975,0.00129,0.87977,0.82039,0.89767,0.56512,1.42955,1.27357,0.00221,0.00053622,0.00053622,0.00053622
21,476.363,1.27413,1.30406,0.00141,0.87721,0.82218,0.89566,0.57286,1.397,1.27469,0.00217,0.000422151,0.000422151,0.000422151
22,497.317,1.23999,1.28644,0.00145,0.88277,0.81736,0.89685,0.56958,1.41126,1.29092,0.00219,0.000326263,0.000326263,0.000326263
23,518.324,1.27398,1.30154,0.0014,0.87391,0.82717,0.90008,0.56611,1.43007,1.29248,0.0022,0.000250069,0.000250069,0.000250069
24,539.32,1.288,1.32917,0.0014,0.86991,0.82634,0.89599,0.57391,1.403,1.2585,0.00217,0.000194769,0.000194769,0.000194769
25,560.311,1.2401,1.25869,0.00143,0.86004,0.83966,0.89722,0.57684,1.39726,1.25751,0.00217,0.000161237,0.000161237,0.000161237
