epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.1323,1.28973,2.22382,0.00094,0.02778,0.47486,0.05287,0.02481,1.39135,1.51337,0.00108,0.00012,0.00012,0.08812
2,29.735,1.14513,1.65215,0.00085,0.93421,0.44246,0.57987,0.29514,1.28342,1.03358,0.001,0.000248615,0.000248615,0.0752486
3,34.4324,1.13075,1.09125,0.0008,0.79194,0.5954,0.69563,0.3094,1.42301,0.71129,0.00114,0.000371631,0.000371631,0.0623716
4,39.0488,1.09691,0.81423,0.00077,0.79307,0.62793,0.72825,0.32473,1.40753,0.65162,0.00109,0.000484986,0.000484986,0.049485
5,43.6677,1.07324,0.66492,0.00076,0.79844,0.63464,0.75111,0.35456,1.32172,0.55296,0.00106,0.000584997,0.000584997,0.036585
6,48.3458,1.06233,0.60714,0.00074,0.78872,0.68821,0.76362,0.32087,1.46296,0.53444,0.00115,0.000668512,0.000668512,0.0236685
7,52.8656,1.04235,0.54374,0.00073,0.81122,0.69721,0.77962,0.38448,1.29119,0.49683,0.00101,0.000733053,0.000733053,0.0107331
8,57.4903,1.04482,0.50577,0.00072,0.84152,0.69274,0.79136,0.3746,1.32318,0.48718,0.00104,0.000754296,0.000754296,0.000754296
9,62.0145,1.03848,0.49502,0.00072,0.8286,0.71061,0.80019,0.40818,1.23359,0.45996,0.00097,0.000689058,0.000689058,0.000689058
10,66.6331,1.00002,0.47538,0.00068,0.82116,0.72179,0.80825,0.40432,1.25414,0.46746,0.00097,0.000620396,0.000620396,0.000620396
11,71.2009,0.99007,0.44659,0.00068,0.83656,0.71955,0.81082,0.43952,1.15433,0.44118,0.0009,0.00055,0.00055,0.00055
12,75.8601,0.98073,0.45264,0.00067,0.81158,0.74637,0.81797,0.43634,1.17129,0.43066,0.00092,0.000479604,0.000479604,0.000479604
13,80.413,0.97945,0.4415,0.00066,0.83921,0.73184,0.8171,0.42064,1.22161,0.43135,0.00096,0.000410942,0.000410942,0.000410942
14,85.0261,0.96477,0.42543,0.00066,0.82996,0.7417,0.82032,0.44669,1.1467,0.42138,0.00088,0.000345704,0.000345704,0.000345704
15,89.7412,0.97298,0.42645,0.00065,0.8355,0.7434,0.82056,0.44935,1.13316,0.40822,0.00088,0.000285497,0.000285497,0.000285497
16,94.4059,0.96261,0.42356,0.00064,0.83408,0.7414,0.8203,0.43232,1.1802,0.41951,0.0009,0.000231802,0.000231802,0.000231802
17,98.9626,0.96725,0.426,0.00067,0.82856,0.75196,0.82546,0.4357,1.17207,0.41872,0.0009,0.000185942,0.000185942,0.000185942
18,103.537,0.94576,0.41093,0.00065,0.84054,0.75084,0.82663,0.4423,1.15272,0.4092,0.00089,0.000149047,0.000149047,0.000149047
19,108.15,0.93783,0.40086,0.00063,0.84618,0.74302,0.82626,0.44315,1.15281,0.41065,0.00089,0.000122025,0.000122025,0.000122025
20,112.766,0.95917,0.41615,0.00066,0.83865,0.75419,0.82669,0.44204,1.15879,0.41327,0.00088,0.00010554,0.00010554,0.00010554
