epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.9728,1.45593,2.61043,0.0018,0.82759,0.7613,0.82572,0.5149,1.42401,1.0503,0.00273,0.001,0.001,0.001
2,61.3177,1.67761,1.26211,0.0023,0.83415,0.77002,0.83666,0.48755,1.55635,0.86925,0.00271,0.00199251,0.00199251,0.00199251
3,82.7977,1.58369,1.09485,0.00201,0.84079,0.7601,0.82839,0.51345,1.4452,0.83792,0.00259,0.00197015,0.00197015,0.00197015
4,104.34,1.54148,0.96231,0.00209,0.85394,0.7824,0.84517,0.50313,1.50401,0.75078,0.00278,0.00193329,0.00193329,0.00193329
5,125.946,1.57545,0.93159,0.00202,0.85342,0.79566,0.8627,0.51649,1.48834,0.76395,0.00278,0.00188249,0.00188249,0.00188249
6,147.601,1.46524,0.92822,0.00187,0.88823,0.77456,0.87123,0.57236,1.34132,0.70915,0.00243,0.00181857,0.00181857,0.00181857
7,169.195,1.43299,0.87987,0.00176,0.8517,0.79506,0.87192,0.56964,1.33462,0.71181,0.00226,0.00174252,0.00174252,0.00174252
8,190.718,1.38774,0.79811,0.00172,0.86104,0.81254,0.88364,0.59483,1.28337,0.66312,0.00222,0.00165555,0.00165555,0.00165555
9,212.312,1.38048,0.78768,0.00171,0.89094,0.78296,0.87737,0.58243,1.33786,0.66551,0.0024,0.00155904,0.00155904,0.00155904
10,233.839,1.36568,0.80125,0.00167,0.87537,0.81285,0.87993,0.58208,1.33328,0.66202,0.0024,0.00145449,0.00145449,0.00145449
11,255.302,1.3628,0.7831,0.00168,0.90187,0.81615,0.89651,0.60803,1.26118,0.59293,0.00223,0.00134357,0.00134357,0.00134357
12,276.868,1.36182,0.80626,0.0017,0.90266,0.82166,0.90038,0.61117,1.24246,0.63301,0.00205,0.00122801,0.00122801,0.00122801
13,298.438,1.27495,0.71213,0.00151,0.90115,0.80108,0.89634,0.62668,1.19338,0.62401,0.00199,0.00110965,0.00110965,0.00110965
14,319.99,1.25645,0.70345,0.00152,0.89885,0.80886,0.89487,0.61585,1.23958,0.60923,0.00211,0.000990349,0.000990349,0.000990349
15,341.414,1.1877,0.63365,0.00139,0.91291,0.81736,0.90014,0.63414,1.17867,0.59697,0.00197,0.000871988,0.000871988,0.000871988
16,371.95,1.10875,0.56787,0.0013,0.90365,0.81405,0.89848,0.62958,1.1981,0.60092,0.00198,0.000756434,0.000756434,0.000756434
17,393.093,1.0928,0.55382,0.00127,0.9018,0.83243,0.90338,0.63466,1.18482,0.60027,0.00193,0.00064551,0.00064551,0.00064551
18,414.455,1.08122,0.53025,0.00123,0.90302,0.81942,0.90269,0.63144,1.20558,0.59101,0.00199,0.000540965,0.000540965,0.000540965
19,435.711,1.04679,0.51638,0.00119,0.88828,0.83002,0.90275,0.63619,1.16782,0.58356,0.00193,0.000444447,0.000444447,0.000444447
20,457.241,1.03098,0.52401,0.00118,0.92321,0.81917,0.9042,0.64582,1.15092,0.55743,0.0019,0.00035748,0.00035748,0.00035748
21,478.64,1.0241,0.50034,0.00115,0.9052,0.8252,0.90726,0.64502,1.14786,0.56617,0.00188,0.000281434,0.000281434,0.000281434
22,499.794,1.00885,0.49752,0.00114,0.90144,0.83798,0.90845,0.64712,1.15072,0.54312,0.00189,0.000217509,0.000217509,0.000217509
23,521.101,1.00257,0.48638,0.00113,0.90799,0.83665,0.90947,0.64843,1.13939,0.56424,0.00186,0.000166712,0.000166712,0.000166712
24,542.34,0.99313,0.48922,0.0011,0.91551,0.82947,0.90931,0.64775,1.14261,0.56615,0.00186,0.000129846,0.000129846,0.000129846
25,563.51,0.99251,0.49337,0.00109,0.90661,0.8368,0.90953,0.64902,1.1361,0.57208,0.00185,0.000107491,0.000107491,0.000107491
