trial_id,worker_id,gpu,timestamp,duration_sec,status,count_mse,count_mae,best_conf,count_mse_true_mean,count_mse_pred_mean,n_val_images,mAP50,model,imgsz,batch,optimizer,lr0,lrf,momentum,weight_decay,warmup_epochs,cos_lr,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,fliplr,flipud,mosaic,mixup,copy_paste,erasing,close_mosaic,dropout,error
1776320047483_w1_0000,1,1,2026-04-16 01:14:07,77.01,ok,18.607843137254903,3.549019607843137,0.1,17.54901960784314,19.764705882352942,51,0.6454688240955041,yolo26n.pt,960,32,SGD,0.01,0.01,0.95,0.0,5.0,True,5.0,2.0,0.5,0.0,0.3,0.6,5.0,0.2,0.5,0.0,0.1,1.0,0.0,0.0,0.2,0,0.2,
1776320045838_w0_0000,0,0,2026-04-16 01:14:05,139.04,ok,12.254901960784315,2.6862745098039214,0.2,17.54901960784314,17.96078431372549,51,0.8141726129895788,yolo26m.pt,800,32,auto,0.003,0.1,0.95,0.001,3.0,False,10.0,0.25,0.5,0.015,0.7,0.6,15.0,0.2,0.8,0.5,0.0,1.0,0.1,0.0,0.4,0,0.0,
1776320124499_w1_0001,1,1,2026-04-16 01:15:24,62.25,ok,10.098039215686274,2.3333333333333335,0.25,17.54901960784314,18.0,51,0.7989135554867037,yolo26s.pt,640,16,AdamW,0.0005,0.005,0.9,0.0005,5.0,False,2.0,2.0,1.5,0.0,0.3,0.2,5.0,0.1,0.25,0.0,0.0,1.0,0.0,0.2,0.2,0,0.2,
1776320186751_w1_0002,1,1,2026-04-16 01:16:26,83.36,ok,15.117647058823529,3.0784313725490198,0.2,17.54901960784314,18.392156862745097,51,0.7810174599771746,yolo26m.pt,640,16,SGD,0.003,0.05,0.937,0.0,1.0,True,10.0,0.25,2.5,0.0,0.3,0.6,5.0,0.2,0.25,0.0,0.1,1.0,0.1,0.5,0.4,20,0.1,
1776320184880_w0_0001,0,0,2026-04-16 01:16:24,128.47,ok,12.549019607843137,2.588235294117647,0.25,17.54901960784314,17.54901960784314,51,0.8217979862453577,yolo26m.pt,800,32,SGD,0.001,0.1,0.937,0.0005,3.0,True,5.0,0.25,0.5,0.015,0.9,0.4,15.0,0.1,0.25,0.5,0.1,1.0,0.0,0.2,0.0,20,0.1,
1776320270118_w1_0003,1,1,2026-04-16 01:17:50,80.89,ok,10.196078431372548,2.4705882352941178,0.25,17.54901960784314,17.470588235294116,51,0.8236198782112827,yolo26s.pt,800,16,auto,0.02,0.01,0.9,0.001,3.0,True,2.0,1.0,1.5,0.0,0.9,0.6,15.0,0.0,0.25,0.5,0.1,0.5,0.0,0.2,0.2,20,0.0,
1776320313359_w0_0002,0,0,2026-04-16 01:18:33,60.93,ok,21.41176470588235,3.8823529411764706,0.1,17.54901960784314,18.84313725490196,51,0.5434791842227652,yolo26n.pt,800,32,AdamW,0.0005,0.01,0.85,0.0,5.0,True,2.0,0.5,0.5,0.015,0.7,0.4,0.0,0.1,0.25,0.0,0.0,0.0,0.0,0.5,0.0,5,0.0,
1776320374292_w0_0003,0,0,2026-04-16 01:19:34,78.79,ok,23.58823529411765,3.5098039215686274,0.2,17.54901960784314,15.607843137254902,51,0.6546845253228114,yolo26n.pt,960,16,AdamW,0.001,0.01,0.9,0.0001,5.0,True,2.0,0.25,1.5,0.05,0.7,0.6,15.0,0.1,0.25,0.0,0.0,1.0,0.0,0.2,0.0,5,0.2,
1776320351016_w1_0004,1,1,2026-04-16 01:19:11,154.59,ok,7.352941176470588,1.9803921568627452,0.2,17.54901960784314,17.215686274509803,51,0.8400177590017834,yolo26s.pt,1280,8,SGD,0.0005,0.005,0.937,0.0001,1.0,False,2.0,2.0,2.5,0.015,0.7,0.6,5.0,0.2,0.25,0.5,0.1,0.0,0.1,0.2,0.0,10,0.2,
1776320453090_w0_0004,0,0,2026-04-16 01:20:53,72.84,ok,45.6078431372549,5.0588235294117645,0.2,17.54901960784314,14.686274509803921,51,0.40551045971235133,yolo26n.pt,960,16,SGD,0.001,0.05,0.95,0.001,5.0,True,10.0,2.0,1.5,0.015,0.3,0.6,0.0,0.2,0.8,0.5,0.1,1.0,0.1,0.5,0.0,10,0.1,
1776320525930_w0_0005,0,0,2026-04-16 01:22:05,75.32,ok,12.627450980392156,2.7450980392156863,0.3,17.54901960784314,17.0,51,0.7771978492091873,yolo26s.pt,800,32,AdamW,0.0001,0.01,0.95,0.001,5.0,False,10.0,2.0,0.5,0.015,0.7,0.4,15.0,0.1,0.5,0.0,0.0,0.5,0.1,0.0,0.0,20,0.2,
1776320601256_w0_0006,0,0,2026-04-16 01:23:21,62.61,ok,18.627450980392158,3.5294117647058822,0.25,17.54901960784314,18.176470588235293,51,0.7410253113307131,yolo26n.pt,960,16,auto,0.0001,0.1,0.937,0.0001,5.0,True,5.0,1.0,0.5,0.05,0.3,0.4,5.0,0.2,0.25,0.5,0.0,0.5,0.0,0.5,0.0,10,0.1,
1776320663866_w0_0007,0,0,2026-04-16 01:24:23,91.05,ok,9.941176470588236,2.2941176470588234,0.25,17.54901960784314,16.980392156862745,51,0.8099412011190945,yolo26s.pt,960,16,AdamW,0.0001,0.01,0.937,0.0001,3.0,True,10.0,2.0,2.5,0.05,0.7,0.2,15.0,0.2,0.25,0.5,0.1,0.5,0.1,0.2,0.2,20,0.0,
1776320754924_w0_0008,0,0,2026-04-16 01:25:54,155.5,ok,7.0588235294117645,1.9215686274509804,0.25,17.54901960784314,17.15686274509804,51,0.863069922059146,yolo26s.pt,1280,16,auto,0.0005,0.05,0.9,0.001,1.0,False,2.0,0.25,0.5,0.015,0.7,0.6,0.0,0.0,0.5,0.0,0.1,1.0,0.1,0.0,0.0,5,0.1,
1776320910430_w0_0009,0,0,2026-04-16 01:28:30,51.03,ok,35.03921568627451,4.490196078431373,0.2,17.54901960784314,14.352941176470589,51,0.48077441100606066,yolo26n.pt,640,16,SGD,0.01,0.05,0.937,0.0001,1.0,True,5.0,0.5,0.5,0.015,0.9,0.6,15.0,0.1,0.8,0.5,0.1,0.5,0.25,0.2,0.0,20,0.2,
1776320961459_w0_0010,0,0,2026-04-16 01:29:21,170.83,ok,8.627450980392156,2.588235294117647,0.15,17.54901960784314,18.254901960784313,51,0.7540387374353874,yolo26s.pt,1280,32,AdamW,0.02,0.1,0.85,0.0005,5.0,False,7.5,0.25,1.5,0.015,0.9,0.2,5.0,0.0,0.25,0.0,0.0,0.5,0.1,0.2,0.2,5,0.2,
