epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.5603,2.47302,5.12021,0.00339,0.4981,0.32514,0.29755,0.0852,3.11795,5.18073,0.00581,0.00192308,0.00192308,0.0826923
2,18.2073,2.52923,3.81795,0.00302,0.82467,0.51285,0.60409,0.23704,2.43664,2.78895,0.00486,0.00373673,0.00373673,0.064506
3,21.8568,2.39191,3.19191,0.00324,0.86212,0.39441,0.52496,0.23531,2.21208,3.91948,0.00462,0.00536038,0.00536038,0.0461296
4,25.4209,2.46198,2.85836,0.00333,0.63169,0.43691,0.43031,0.14841,2.66935,4.11686,0.00592,0.00679404,0.00679404,0.0275633
5,29.0656,2.78354,3.42058,0.00367,0.52671,0.39553,0.41097,0.14238,2.57075,4.42182,0.00631,0.00803769,0.00803769,0.00880692
6,32.6108,2.59662,3.20824,0.00328,0.28071,0.15307,0.10451,0.01888,3.86904,5.3053,0.00862,0.007625,0.007625,0.007625
7,36.1507,2.60261,3.03036,0.00341,0.04448,0.02011,0.00341,0.00039,5.11787,11.1783,0.01489,0.00715,0.00715,0.00715
8,39.7377,2.57548,2.98804,0.00312,0.6596,0.46765,0.50439,0.17985,2.7321,3.16105,0.00616,0.006675,0.006675,0.006675
9,43.4057,2.29537,2.68316,0.00282,0.69515,0.58547,0.64791,0.29893,2.02051,2.42674,0.00363,0.0062,0.0062,0.0062
10,47.0244,2.17475,2.49707,0.00278,0.81466,0.59777,0.71099,0.31541,2.14621,2.28593,0.00462,0.005725,0.005725,0.005725
11,50.6618,2.32452,2.54253,0.00288,0.72748,0.5667,0.6343,0.30266,2.06217,2.57515,0.00422,0.00525,0.00525,0.00525
12,54.2288,2.16126,2.28474,0.00262,0.81659,0.6514,0.74332,0.38988,1.84559,1.98085,0.00369,0.004775,0.004775,0.004775
13,57.9413,2.08379,2.15949,0.00256,0.77802,0.65399,0.73145,0.37302,1.88799,1.99635,0.00344,0.0043,0.0043,0.0043
14,61.4856,2.07007,2.3282,0.00257,0.77131,0.63686,0.70742,0.30589,2.20482,2.22369,0.0043,0.003825,0.003825,0.003825
15,65.0672,2.16486,2.29287,0.00264,0.77988,0.61788,0.71426,0.37139,1.87776,2.10447,0.00345,0.00335,0.00335,0.00335
16,73.4702,2.08073,2.05442,0.0028,0.80679,0.68116,0.76207,0.4098,1.80241,1.86187,0.0034,0.002875,0.002875,0.002875
17,77.0642,1.90606,1.95986,0.00241,0.79729,0.67238,0.76276,0.38885,1.83885,1.88918,0.00355,0.0024,0.0024,0.0024
18,80.4856,1.96274,1.87498,0.00264,0.78223,0.67933,0.75935,0.39085,1.8178,1.87405,0.00365,0.001925,0.001925,0.001925
19,83.915,1.94123,1.88565,0.00226,0.82073,0.68492,0.7772,0.43463,1.65726,1.77274,0.00298,0.00145,0.00145,0.00145
20,87.4372,1.80881,1.76902,0.00231,0.81464,0.68256,0.76652,0.41458,1.72646,1.79805,0.00329,0.000975,0.000975,0.000975
