trial_id,worker_id,gpu,timestamp,duration_sec,status,count_mse,count_mae,best_conf,count_mse_true_mean,count_mse_pred_mean,n_val_images,mAP50,model,imgsz,batch,optimizer,lr0,lrf,momentum,weight_decay,warmup_epochs,cos_lr,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,fliplr,flipud,mosaic,mixup,copy_paste,erasing,close_mosaic,dropout,error
1776359440318_w1_0000,1,1,2026-04-16 12:10:40,116.74,ok,6.868131868131868,2.032967032967033,0.25,15.901098901098901,16.175824175824175,91,0.8148148480914773,yolo26n.pt,960,16,auto,0.01,0.01,0.9,0.0001,1.0,True,10.0,2.0,2.5,0.05,0.5,0.6,5.0,0.1,0.5,0.0,0.0,0.5,0.25,0.0,0.0,10,0.0,
1776359438781_w0_0000,0,0,2026-04-16 12:10:38,265.1,ok,3.3626373626373627,1.3626373626373627,0.3,15.901098901098901,15.483516483516484,91,0.8947820762865294,yolo26m.pt,960,8,AdamW,0.003,0.1,0.9,0.0005,5.0,True,5.0,2.0,2.5,0.015,0.7,0.4,15.0,0.0,0.25,0.0,0.0,0.0,0.1,0.2,0.2,20,0.0,
1776359557056_w1_0001,1,1,2026-04-16 12:12:37,208.37,ok,53.31868131868132,5.648351648351649,0.15,15.901098901098901,13.923076923076923,91,0.367427216092991,yolo26n.pt,1280,8,SGD,0.0001,0.05,0.937,0.0,5.0,False,2.0,0.25,0.5,0.0,0.7,0.6,5.0,0.2,0.8,0.0,0.1,1.0,0.0,0.5,0.4,0,0.1,
1776359765432_w1_0002,1,1,2026-04-16 12:16:05,159.85,ok,20.53846153846154,3.3956043956043955,0.2,15.901098901098901,16.10989010989011,91,0.6496617302651111,yolo26n.pt,1280,8,SGD,0.003,0.05,0.95,0.0,1.0,True,7.5,0.25,0.5,0.05,0.7,0.2,0.0,0.1,0.8,0.0,0.1,0.0,0.1,0.5,0.4,5,0.0,
1776359925280_w1_0003,1,1,2026-04-16 12:18:45,161.1,ok,8.835164835164836,2.3516483516483517,0.25,15.901098901098901,14.802197802197803,91,0.8318318617641114,yolo26n.pt,1280,8,AdamW,0.01,0.005,0.85,0.0001,3.0,True,10.0,2.0,2.5,0.0,0.9,0.4,5.0,0.2,0.8,0.5,0.0,0.0,0.1,0.2,0.2,10,0.2,
1776360086379_w1_0004,1,1,2026-04-16 12:21:26,416.87,ok,2.8461538461538463,1.2857142857142858,0.25,15.901098901098901,15.934065934065934,91,0.9175944555378992,yolo26m.pt,1280,8,AdamW,0.0005,0.1,0.85,0.0005,1.0,True,5.0,1.0,1.5,0.05,0.9,0.2,15.0,0.1,0.25,0.0,0.1,1.0,0.25,0.2,0.0,10,0.1,
1776360503259_w1_0005,1,1,2026-04-16 12:28:23,176.6,ok,6.637362637362638,2.0,0.4,15.901098901098901,15.703296703296703,91,0.8271354661928749,yolo26n.pt,1280,16,AdamW,0.003,0.01,0.95,0.001,1.0,False,5.0,2.0,2.5,0.015,0.5,0.4,0.0,0.2,0.25,0.5,0.0,0.5,0.0,0.5,0.4,10,0.0,
