epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8526,2.90842,5.29639,0.00108,0.76302,0.52736,0.61291,0.31635,2.58906,2.97751,0.00123,0.000573913,0.000573913,0.0814435
2,21.5809,2.27977,1.89806,0.00075,0.78211,0.59288,0.67528,0.34532,2.36576,4.95073,0.00104,0.00112109,0.00112109,0.0619907
3,32.2659,2.05333,1.72007,0.00063,0.79096,0.68487,0.75417,0.42302,2.14111,4.39954,0.00089,0.00161426,0.00161426,0.0424838
4,42.9247,2.1572,1.70901,0.00066,0.73151,0.63455,0.71636,0.41881,2.13258,4.13295,0.0009,0.00205343,0.00205343,0.022923
5,53.515,2.04398,1.68271,0.00063,0.8197,0.73601,0.81591,0.47509,2.09088,2.1025,0.00089,0.00243861,0.00243861,0.00330817
6,64.379,1.95147,1.57246,0.00059,0.8353,0.74015,0.81905,0.50754,1.9859,2.94976,0.00081,0.002325,0.002325,0.002325
7,75.306,1.95055,1.51308,0.00059,0.81996,0.78162,0.83624,0.51079,1.99658,1.6565,0.00091,0.00219,0.00219,0.00219
8,86.3606,1.90144,1.48196,0.00056,0.86282,0.76502,0.84355,0.52552,1.89381,2.07648,0.0008,0.002055,0.002055,0.002055
9,97.3467,1.84365,1.4553,0.00054,0.87359,0.78323,0.86505,0.54638,1.8904,1.57437,0.00076,0.00192,0.00192,0.00192
10,108.304,1.85343,1.42936,0.00055,0.89111,0.78093,0.86959,0.57387,1.75659,1.59246,0.00073,0.001785,0.001785,0.001785
11,125.112,1.83909,1.37724,0.00058,0.84463,0.77769,0.85207,0.53538,1.95236,1.44166,0.0008,0.00165,0.00165,0.00165
12,135.485,1.72086,1.30565,0.00054,0.88749,0.79613,0.87304,0.58752,1.73439,1.41512,0.0007,0.001515,0.001515,0.001515
13,942.407,1.74157,1.2372,0.00052,0.87455,0.80788,0.87732,0.54649,1.94446,1.34106,0.0008,0.00138,0.00138,0.00138
14,952.933,1.73259,1.23343,0.00053,0.86799,0.79889,0.87457,0.55962,1.88522,1.29342,0.00076,0.001245,0.001245,0.001245
15,963.924,1.69776,1.17087,0.0005,0.87751,0.82188,0.8894,0.59251,1.74599,1.22117,0.0007,0.00111,0.00111,0.00111
16,975.003,1.69783,1.20018,0.0005,0.87166,0.82139,0.88239,0.59667,1.71499,1.18698,0.00069,0.000975,0.000975,0.000975
17,985.968,1.61948,1.12626,0.00047,0.90578,0.81058,0.89267,0.60934,1.66318,1.1444,0.00065,0.00084,0.00084,0.00084
18,997.296,1.59678,1.12151,0.00047,0.89164,0.80752,0.8855,0.59267,1.7327,1.16532,0.00068,0.000705,0.000705,0.000705
19,1008.3,1.60552,1.12772,0.00047,0.90457,0.80572,0.88902,0.61005,1.66197,1.13853,0.00066,0.00057,0.00057,0.00057
20,1019.31,1.59781,1.1016,0.00046,0.89707,0.81341,0.89751,0.60839,1.69042,1.15245,0.00067,0.000435,0.000435,0.000435
