epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.971,0.51235,13.99,0.00407,0.61265,0.33408,0.40445,0.22296,0.37193,8.92728,0.00415,0.000125,0.000125,0.075125
2,23.7009,0.45626,10.6817,0.00361,0.66669,0.54532,0.60957,0.34281,0.39867,6.71063,0.00472,0.000242314,0.000242314,0.0492423
3,29.3853,0.44424,7.76065,0.00371,0.73192,0.63128,0.68499,0.39109,0.42197,5.14356,0.00525,0.000346692,0.000346692,0.0233467
4,35.0405,0.4363,6.27215,0.00362,0.76988,0.65475,0.73403,0.4188,0.4347,4.34869,0.0054,0.000425375,0.000425375,0.000425375
5,40.8435,0.42825,4.92356,0.00357,0.78942,0.67486,0.76574,0.43383,0.44032,3.96823,0.00544,0.0004005,0.0004005,0.0004005
6,46.576,0.42363,4.69986,0.0034,0.81951,0.70056,0.79036,0.44196,0.44585,3.61648,0.0054,0.000375625,0.000375625,0.000375625
7,52.4734,0.42155,4.10417,0.00359,0.8149,0.72308,0.79672,0.44021,0.44751,3.49181,0.00528,0.00035075,0.00035075,0.00035075
8,58.2488,0.41655,3.97627,0.00342,0.83393,0.72849,0.80649,0.43492,0.45207,3.45033,0.00525,0.000325875,0.000325875,0.000325875
9,63.9856,0.41741,3.90835,0.0035,0.83066,0.74078,0.80824,0.43606,0.45171,3.42772,0.00511,0.000301,0.000301,0.000301
10,69.6605,0.41321,4.00305,0.0033,0.8396,0.73966,0.81637,0.44555,0.44327,3.40916,0.00495,0.000276125,0.000276125,0.000276125
11,83.1205,0.39671,3.45665,0.00315,0.85511,0.73408,0.82213,0.45107,0.44122,3.3037,0.00491,0.00025125,0.00025125,0.00025125
12,89.0159,0.3901,3.43246,0.00305,0.85211,0.73389,0.82641,0.45765,0.43958,3.2188,0.00489,0.000226375,0.000226375,0.000226375
13,94.839,0.39378,3.32281,0.00309,0.82865,0.75649,0.83461,0.46785,0.43413,3.13807,0.00482,0.0002015,0.0002015,0.0002015
14,100.683,0.39193,3.37126,0.00314,0.83563,0.75548,0.8374,0.47294,0.42916,3.07411,0.00477,0.000176625,0.000176625,0.000176625
15,106.604,0.38541,3.24292,0.00306,0.83179,0.75419,0.83678,0.47517,0.42715,3.05818,0.00475,0.00015175,0.00015175,0.00015175
16,112.482,0.39286,3.31193,0.00302,0.84116,0.75642,0.83962,0.47475,0.42855,3.03639,0.00475,0.000126875,0.000126875,0.000126875
17,118.433,0.39487,3.28781,0.00299,0.8308,0.75712,0.83875,0.47651,0.42791,3.00944,0.00474,0.000102,0.000102,0.000102
18,124.19,0.38409,3.1393,0.00296,0.83929,0.74637,0.83868,0.47656,0.42716,3.01326,0.00471,7.7125e-05,7.7125e-05,7.7125e-05
19,129.906,0.38408,3.17519,0.00297,0.8341,0.74525,0.83689,0.47761,0.42592,3.00279,0.00471,5.225e-05,5.225e-05,5.225e-05
20,135.811,0.38671,3.30369,0.00295,0.83908,0.74575,0.83955,0.47872,0.42589,2.98466,0.00469,2.7375e-05,2.7375e-05,2.7375e-05
