epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.4589,2.42837,1.14913,0.0007,0.83706,0.70603,0.79722,0.5096,1.89074,0.55752,0.00084,0.0005,0.0005,0.0005
2,33.1298,2.29069,0.72685,0.00065,0.85252,0.74744,0.82505,0.50212,1.99686,0.56981,0.00085,0.00101602,0.00101602,0.00101602
3,44.8569,2.39471,0.60682,0.00063,0.83236,0.73626,0.83152,0.52066,1.88819,0.53291,0.00088,0.00151605,0.00151605,0.00151605
4,56.5683,2.32369,0.63171,0.00066,0.85007,0.73134,0.82932,0.54124,1.86341,0.4277,0.00086,0.00193048,0.00193048,0.00193048
5,68.2692,2.44939,0.62743,0.00065,0.85307,0.6739,0.78,0.49903,1.91804,0.54199,0.00089,0.00187754,0.00187754,0.00187754
6,79.9679,2.32698,0.5949,0.00062,0.87585,0.75266,0.84743,0.5396,1.91327,0.45217,0.00084,0.00181093,0.00181093,0.00181093
7,91.601,2.30653,0.54988,0.00063,0.8488,0.76251,0.8533,0.51417,2.03689,0.40468,0.00092,0.00173168,0.00173168,0.00173168
8,103.261,2.29851,0.5528,0.00062,0.86196,0.77539,0.84201,0.54162,1.84297,0.50181,0.0008,0.00164105,0.00164105,0.00164105
9,114.913,2.14317,0.51274,0.00061,0.86708,0.77818,0.85215,0.55945,1.77997,0.57297,0.00077,0.00154047,0.00154047,0.00154047
10,126.692,2.11195,0.46987,0.00055,0.84455,0.79687,0.86897,0.54317,1.86201,0.371,0.00083,0.00143152,0.00143152,0.00143152
11,138.332,2.20597,0.50169,0.0006,0.87822,0.77818,0.86876,0.5821,1.73884,0.34716,0.00077,0.00131593,0.00131593,0.00131593
12,150.016,2.08858,0.46845,0.00055,0.85124,0.79566,0.86666,0.57375,1.79474,0.3636,0.00086,0.00119551,0.00119551,0.00119551
13,161.623,2.05528,0.4494,0.00052,0.86533,0.78239,0.87349,0.58726,1.70767,0.35227,0.00072,0.00107216,0.00107216,0.00107216
14,173.329,2.05359,0.45278,0.00053,0.88661,0.79648,0.88336,0.59234,1.72177,0.33228,0.00074,0.000947837,0.000947837,0.000947837
15,185.038,2.03205,0.44648,0.00051,0.85399,0.81084,0.87449,0.57952,1.76368,0.37385,0.00077,0.000824492,0.000824492,0.000824492
16,206.233,1.79501,0.41095,0.00053,0.83908,0.80775,0.87546,0.59489,1.71534,0.34172,0.00074,0.000704073,0.000704073,0.000704073
17,217.046,1.7891,0.38276,0.00051,0.86489,0.80772,0.88286,0.60462,1.65455,0.32138,0.0007,0.000588479,0.000588479,0.000588479
18,227.91,1.7941,0.36767,0.00051,0.86319,0.81736,0.88336,0.60656,1.67269,0.31378,0.00071,0.000479531,0.000479531,0.000479531
19,238.871,1.72704,0.34484,0.00047,0.88541,0.81038,0.8816,0.60776,1.64214,0.31287,0.00069,0.00037895,0.00037895,0.00037895
20,249.866,1.70864,0.34976,0.00048,0.89151,0.8053,0.88507,0.61571,1.62072,0.30799,0.00068,0.000288321,0.000288321,0.000288321
21,260.798,1.67985,0.33787,0.00047,0.88175,0.81133,0.88629,0.61849,1.61916,0.31056,0.00067,0.000209073,0.000209073,0.000209073
22,271.706,1.69839,0.34914,0.00045,0.8942,0.79983,0.88832,0.6246,1.58916,0.30188,0.00066,0.000142456,0.000142456,0.000142456
23,282.678,1.89194,0.3818,0.00048,0.87831,0.81073,0.88942,0.6194,1.59901,0.30677,0.00067,8.95213e-05,8.95213e-05,8.95213e-05
24,293.558,1.67986,0.34524,0.00043,0.88985,0.8035,0.88881,0.6234,1.58181,0.30901,0.00066,5.11027e-05,5.11027e-05,5.11027e-05
25,304.339,1.62891,0.33638,0.00045,0.88979,0.80591,0.88885,0.62517,1.58133,0.30547,0.00066,2.78064e-05,2.78064e-05,2.78064e-05
