epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.94031,2.70405,11.2017,0.00505,0.41531,0.42364,0.26167,0.11071,2.22194,15.2685,0.00593,0.00325926,0.00325926,0.0706667
2,13.4809,3.03379,8.39927,0.00569,0.04234,0.79889,0.18055,0.05213,2.93645,11.2586,0.00754,0.00655221,0.00655221,0.0406263
3,19.968,2.74834,8.22909,0.00512,0.44569,0.39945,0.3682,0.13725,2.79629,9.44585,0.00749,0.00968424,0.00968424,0.010425
4,26.4386,2.89078,7.82179,0.00548,0.36423,0.27989,0.23388,0.08028,2.99926,10.8701,0.00725,0.00945776,0.00945776,0.00945776
5,33.084,2.84136,8.8968,0.00511,0.50022,0.50449,0.49613,0.21249,2.66416,18.9759,0.00687,0.00904986,0.00904986,0.00904986
6,39.617,2.83733,7.0917,0.00513,0.61626,0.54872,0.59343,0.28792,2.47533,6.95009,0.00591,0.00854286,0.00854286,0.00854286
7,46.1291,2.78064,6.53918,0.00501,0.62848,0.54872,0.59364,0.25771,2.72666,6.3052,0.00676,0.00794923,0.00794923,0.00794923
8,52.5604,2.77185,6.79547,0.00529,0.63098,0.58375,0.63363,0.31295,2.40846,5.83363,0.00565,0.0072836,0.0072836,0.0072836
9,59.0654,2.70435,6.41703,0.00484,0.65124,0.62474,0.67276,0.33095,2.44355,5.87158,0.00624,0.00656236,0.00656236,0.00656236
10,65.7728,2.44944,5.74145,0.00433,0.75488,0.58954,0.69027,0.33208,2.56052,5.22361,0.0061,0.00580326,0.00580326,0.00580326
11,80.5765,2.47326,5.10161,0.00435,0.7478,0.66137,0.74384,0.37116,2.37708,4.73377,0.00668,0.005025,0.005025,0.005025
12,87.0301,2.42566,4.94313,0.00434,0.80431,0.67865,0.78956,0.4578,2.07125,4.21267,0.00491,0.00424674,0.00424674,0.00424674
13,93.3966,2.30757,4.55128,0.00384,0.76383,0.68141,0.77816,0.43929,2.13812,4.15301,0.00463,0.00348764,0.00348764,0.00348764
14,99.9171,2.21917,4.23551,0.00368,0.75405,0.69709,0.77967,0.43095,2.2069,3.97,0.00473,0.0027664,0.0027664,0.0027664
15,106.349,2.17465,4.14381,0.0035,0.80593,0.70283,0.81131,0.46598,2.10042,3.82663,0.00452,0.00210077,0.00210077,0.00210077
16,112.721,2.1519,3.96835,0.0033,0.80849,0.69661,0.80932,0.47002,2.05302,3.76538,0.00439,0.00150714,0.00150714,0.00150714
17,119.165,2.15785,3.94886,0.00331,0.81625,0.70352,0.81429,0.47702,2.05613,3.7132,0.00431,0.00100014,0.00100014,0.00100014
18,125.738,2.15557,3.90568,0.00333,0.83814,0.71389,0.83235,0.48086,2.07007,3.624,0.00442,0.000592243,0.000592243,0.000592243
19,132.149,2.07816,3.83497,0.00326,0.82821,0.72149,0.83088,0.49395,1.99558,3.54081,0.00424,0.000293494,0.000293494,0.000293494
20,138.587,2.06304,3.79432,0.0032,0.84078,0.70974,0.83055,0.48968,2.01979,3.54841,0.00424,0.000111251,0.000111251,0.000111251
